Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor23.17,A2,0.145,0.114,0.218,0.07,0.078,0.046,0.11,1.711,0.714,78.265
1,SPL2,Tor23.18,B2,0.066,0.06,0.14,0.048,0.015,0.01,0.047,1.415,0.315,14.831
1,SPL3,Tor23.19,C2,0.091,0.085,0.185,0.065,0.023,0.019,0.079,1.256,0.297,23.387
1,SPL4,Tor23.20,D2,0.074,0.066,0.141,0.055,0.015,0.009,0.04,1.7,0.374,15.071
1,SPL5,Tor24.1,E2,0.086,0.076,0.174,0.059,0.026,0.017,0.074,1.553,0.35,25.82
1,SPL6,Tor24.2,F2,0.095,0.084,0.179,0.062,0.031,0.021,0.075,1.489,0.411,30.946
1,SPL7,Tor24.3,G2,0.072,0.063,0.152,0.051,0.019,0.011,0.056,1.657,0.33,18.625
1,SPL8,Tor24.4,H2,0.11,0.079,0.161,0.042,0.069,0.038,0.074,1.85,0.933,69.426
1,SPL9,Tor24.5,A3,0.06,0.054,0.132,0.045,0.012,0.007,0.045,1.719,0.277,12.474
1,SPL10,Tor24.6,B3,0.215,0.147,0.231,0.057,0.173,0.099,0.143,1.751,1.213,173.303
1,SPL11,Tor24.7,C3,0.17,0.134,0.248,0.079,0.098,0.06,0.135,1.617,0.724,97.731
1,SPL12,Tor24.8,D3,0.084,0.072,0.174,0.055,0.027,0.016,0.079,1.633,0.34,26.93
1,SPL13,Tor24.9,E3,0.196,0.158,0.29,0.099,0.104,0.064,0.161,1.621,0.646,103.761
1,SPL14,Tor24.10,F3,0.099,0.084,0.186,0.061,0.032,0.019,0.084,1.682,0.386,32.348
1,SPL15,Tor24.11,G3,0.084,0.072,0.175,0.056,0.025,0.016,0.077,1.624,0.329,25.388
1,SPL16,Tor24.12,H3,0.089,0.072,0.168,0.05,0.038,0.023,0.076,1.703,0.503,38.419
1,SPL17,Tor24.13,A5,0.082,0.072,0.157,0.059,0.021,0.012,0.059,1.714,0.354,20.911
1,SPL18,Tor24.14,B5,0.102,0.089,0.189,0.072,0.029,0.018,0.082,1.587,0.35,28.745
1,SPL19,Tor24.15,C5,0.098,0.084,0.187,0.061,0.037,0.023,0.093,1.609,0.4,37.18
1,SPL20,Tor24.16,D5,0.132,0.114,0.226,0.088,0.045,0.027,0.107,1.661,0.417,44.846
1,SPL21,Tor24.17,E5,0.097,0.083,0.176,0.06,0.038,0.024,0.083,1.596,0.46,38.199
1,SPL22,Tor24.18,F5,0.124,0.104,0.203,0.072,0.057,0.035,0.102,1.621,0.562,57.16
1,SPL23,Tor24.19,G5,0.131,0.108,0.222,0.073,0.063,0.038,0.123,1.65,0.514,63.137
1,SPL24,Tor24.20,H5,0.06,0.055,0.126,0.047,0.011,0.007,0.038,1.517,0.281,10.746
1,SPL25,Tor25.1,A6,0.073,0.066,0.145,0.053,0.017,0.011,0.051,1.581,0.333,17.097
1,SPL26,Tor25.2,B6,0.091,0.081,0.166,0.063,0.027,0.018,0.068,1.526,0.401,27.23
1,SPL27,Tor25.3,C6,0.081,0.071,0.149,0.054,0.027,0.017,0.059,1.599,0.456,26.788
1,SPL28,Tor25.4,D6,0.099,0.088,0.184,0.069,0.03,0.021,0.084,1.463,0.363,30.325
1,SPL29,Tor25.5,E6,0.092,0.081,0.175,0.063,0.029,0.019,0.08,1.522,0.362,29.097
1,SPL30,Tor25.6,F6,0.134,0.115,0.225,0.082,0.056,0.036,0.115,1.57,0.488,56.375
1,SPL31,Tor25.7,G6,0.158,0.121,0.218,0.07,0.1,0.058,0.123,1.718,0.816,100.382
1,SPL32,Tor25.8,H6,0.151,0.14,0.252,0.108,0.047,0.036,0.116,1.308,0.401,46.648
1,SPL33,Tor25.9,A8,0.067,0.06,0.131,0.052,0.012,0.008,0.038,1.425,0.319,12.034
1,SPL34,Tor25.10,B8,0.114,0.099,0.199,0.075,0.039,0.023,0.087,1.685,0.448,39.139
1,SPL35,Tor25.11,C8,0.097,0.084,0.179,0.065,0.032,0.02,0.08,1.64,0.405,32.199
1,SPL36,Tor25.12,D8,0.172,0.153,0.286,0.114,0.059,0.04,0.144,1.462,0.408,58.797
1,SPL37,Tor25.13,E8,0.118,0.1,0.198,0.069,0.051,0.032,0.094,1.6,0.54,50.725
1,SPL38,Tor25.14,F8,0.073,0.065,0.141,0.052,0.019,0.012,0.049,1.564,0.396,19.335
1,SPL39,Tor25.15,G8,0.321,0.204,0.331,0.071,0.274,0.146,0.244,1.873,1.126,274.397
1,SPL40,Tor25.16,H8,0.084,0.071,0.166,0.053,0.029,0.018,0.073,1.66,0.399,29.154
1,SPL41,Tor25.17,A9,0.086,0.076,0.158,0.061,0.024,0.015,0.059,1.635,0.404,23.892
1,SPL42,Tor25.18,B9,0.099,0.085,0.182,0.065,0.032,0.02,0.085,1.643,0.377,32.158
1,SPL43,Tor25.19,C9,0.228,0.205,0.365,0.154,0.079,0.056,0.189,1.422,0.419,79.26
1,SPL44,Tor25.20,D9,0.077,0.066,0.146,0.053,0.022,0.012,0.054,1.743,0.403,21.754
