Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor6.1,A2,0.131,0.117,0.241,0.095,0.033,0.022,0.071,1.528,0.465,32.983
1,SPL2,Tor6.2,B2,0.178,0.165,0.296,0.129,0.049,0.037,0.097,1.307,0.505,48.952
1,SPL3,Tor6.3,C2,0.381,0.444,0.755,0.324,0.057,0.13,0.388,0.44,0.147,57.194
1,SPL4,Tor6.4,D2,0.139,0.118,0.227,0.089,0.049,0.029,0.065,1.702,0.75,48.648
1,SPL5,Tor6.5,E2,0.224,0.165,0.253,0.098,0.134,0.071,0.082,1.891,1.638,134.309
1,SPL6,Tor6.6,F2,0.162,0.14,0.244,0.097,0.065,0.044,0.072,1.48,0.901,65.097
1,SPL7,Tor6.7,G2,0.099,0.088,0.178,0.073,0.023,0.013,0.023,1.708,0.962,22.592
1,SPL8,Tor6.8,H2,0.124,0.104,0.171,0.08,0.036,0.02,0.007,1.811,5.258,35.982
1,SPL9,Tor6.9,A3,0.148,0.112,0.19,0.072,0.079,0.042,0.044,1.905,1.811,79.496
1,SPL10,Tor6.10,B3,0.206,0.153,0.246,0.094,0.12,0.064,0.082,1.87,1.476,120.362
1,SPL11,Tor6.11,C3,0.128,0.111,0.229,0.092,0.034,0.018,0.065,1.853,0.525,33.925
1,SPL12,Tor6.12,D3,0.177,0.141,0.204,0.095,0.083,0.046,0.054,1.806,1.542,82.697
1,SPL13,Tor6.13,E3,0.167,0.144,0.257,0.112,0.056,0.033,0.074,1.678,0.758,55.966
1,SPL14,Tor6.14,F3,0.147,0.124,0.193,0.094,0.051,0.03,0.016,1.685,3.194,51.134
1,SPL15,Tor6.15,G3,0.239,0.213,0.385,0.166,0.074,0.049,0.15,1.526,0.496,74.279
1,SPL16,Tor6.16,H3,0.282,0.248,0.411,0.185,0.103,0.068,0.161,1.52,0.639,103.194
1,SPL17,Tor6.17,A5,0.158,0.133,0.216,0.102,0.058,0.033,0.042,1.775,1.365,57.737
1,SPL18,Tor6.18,B5,0.267,0.207,0.327,0.135,0.148,0.081,0.136,1.835,1.089,147.932
1,SPL19,Tor6.19,C5,0.2,0.148,0.243,0.089,0.122,0.064,0.105,1.896,1.159,121.628
1,SPL20,Tor6.20,D5,0.169,0.136,0.257,0.094,0.082,0.046,0.105,1.769,0.781,81.827
1,SPL21,Tor7.1,E5,0.143,0.118,0.231,0.087,0.06,0.034,0.081,1.757,0.737,59.656
