Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor77.2,A2,0.104,0.08,0.151,0.047,0.059,0.034,0.061,1.726,0.976,59.258
1,SPL2,Tor77.12,B2,0.106,0.083,0.144,0.049,0.059,0.035,0.051,1.688,1.139,58.541
1,SPL3,Tor77.17,C2,0.788,0.635,0.875,0.418,0.404,0.236,0.451,1.708,0.894,403.569
1,SPL4,Tor77.18,D2,0.207,0.175,0.276,0.109,0.103,0.07,0.131,1.469,0.787,103.059
1,SPL5,Tor78.1,E2,0.082,0.066,0.129,0.045,0.036,0.021,0.038,1.763,0.948,36.348
1,SPL6,Tor78.2,F2,0.079,0.065,0.114,0.04,0.038,0.024,0.027,1.595,1.383,37.909
1,SPL7,Tor78.3,G2,0.56,0.511,0.654,0.38,0.193,0.141,0.247,1.366,0.781,192.969
1,SPL8,Tor78.4,H2,0.17,0.129,0.22,0.067,0.109,0.066,0.113,1.649,0.965,108.83
1,SPL9,Tor78.6,A3,0.127,0.089,0.13,0.041,0.092,0.052,0.046,1.774,1.993,91.744
1,SPL10,Tor78.7,B3,0.058,0.048,0.103,0.042,0.012,0.003,0.014,3.6,0.844,12.217
1,SPL11,Tor78.9,C3,0.049,0.044,0.097,0.038,0.007,0.004,0.01,1.622,0.682,6.74
1,SPL12,Tor78.15,D3,0.051,0.045,0.096,0.038,0.009,0.005,0.011,1.756,0.798,8.864
1,SPL13,Tor78.17,E3,0.08,0.067,0.123,0.047,0.032,0.019,0.032,1.655,1,31.677
1,SPL14,Tor78.18,F3,0.043,0.041,0.09,0.037,-0.003,-0.002,0.003,1.444,-0.897,-2.89
1,SPL15,Tor78.19,G3,0.056,0.049,0.102,0.039,0.013,0.008,0.014,1.635,0.96,13.415
1,SPL16,Tor79.10,H3,0.062,0.052,0.107,0.038,0.021,0.013,0.021,1.617,0.984,20.773
1,SPL17,Tor79.14,A5,0.109,0.078,0.118,0.041,0.072,0.039,0.034,1.849,2.156,72.375
1,SPL18,Tor79.15,B5,0.088,0.07,0.112,0.051,0.036,0.02,0.016,1.851,2.321,36.34
1,SPL19,Tor79.17,C5,0.074,0.06,0.108,0.042,0.032,0.018,0.024,1.739,1.338,32.02
