Sample Results,,,,,,,,,,
,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,320 Raw,260,280,260/280,ng/µL
1,SPL1,Tor39.1,A2,0.076,0.056,0.059,0.016,-0.003,-4.867,16.324
1,SPL2,Tor39.2,B2,0.069,0.109,0.1,-0.041,0.007,-5.692,-41.258
1,SPL3,Tor39.3,C2,0.049,0.046,0.042,0.003,0.001,2.556,2.549
1,SPL4,Tor39.4,D2,0.05,0.045,0.04,0.005,0.003,1.714,5.319
1,SPL5,Tor39.5,E2,0.049,0.043,0.038,0.006,0.003,1.767,5.873
1,SPL6,Tor39.6,F2,0.052,0.051,0.054,-0.008,-0.005,1.478,-7.515
1,SPL7,Tor39.7,G2,0.126,0.081,0.061,0.065,0.019,3.453,65.462
1,SPL8,Tor39.8,H2,0.143,0.068,0.062,0.08,0.002,40.389,80.243
1,SPL9,Tor39.9,A3,0.068,0.056,0.041,0.024,0.014,1.698,24.269
1,SPL10,Tor39.10,B3,0.087,0.104,0.087,-0.005,0.017,-0.304,-5.09
1,SPL11,Tor39.11,C3,0.096,0.074,0.045,0.052,0.031,1.684,52.011
1,SPL12,Tor39.12,D3,0.075,0.061,0.041,0.033,0.02,1.621,33.101
1,SPL13,Tor39.13,E3,0.084,0.069,0.046,0.037,0.023,1.626,36.938
1,SPL14,Tor39.14,F3,0.105,0.078,0.044,0.062,0.035,1.755,62.028
1,SPL15,Tor39.15,G3,0.107,0.079,0.041,0.064,0.038,1.697,63.969
1,SPL16,Tor39.16,H3,0.16,0.12,0.053,0.114,0.072,1.582,113.581
1,SPL17,Tor39.17,A5,0.139,0.105,0.056,0.091,0.055,1.657,90.846
1,SPL18,Tor39.18,B5,0.154,0.11,0.053,0.112,0.063,1.768,112.176
1,SPL19,Tor39.19,C5,0.136,0.104,0.056,0.088,0.054,1.63,87.732
1,SPL20,Tor39.20,D5,0.155,0.112,0.051,0.116,0.07,1.662,116.107
1,SPL21,Tor40.1,E5,0.105,0.081,0.049,0.06,0.036,1.686,60.245
1,SPL22,Tor40.2,F5,0.121,0.09,0.047,0.081,0.049,1.663,81.065
1,SPL23,Tor40.3,G5,0.134,0.098,0.045,0.1,0.061,1.654,100.332
1,SPL24,Tor40.4,H5,0.221,0.176,0.075,0.167,0.116,1.437,166.627
1,SPL25,Tor40.5,A6,0.129,0.097,0.046,0.091,0.057,1.586,90.951
1,SPL26,Tor40.6,B6,0.256,0.169,0.063,0.221,0.121,1.818,220.892
1,SPL27,Tor40.7,C6,0.214,0.148,0.06,0.176,0.101,1.739,176.304
1,SPL28,Tor40.8,D6,0.154,0.114,0.054,0.113,0.068,1.662,113.006
1,SPL29,Tor40.9,E6,0.179,0.137,0.08,0.112,0.066,1.712,112.47
1,SPL30,Tor40.10,F6,0.205,0.137,0.05,0.177,0.099,1.788,176.974
1,SPL31,Tor40.11,G6,0.115,0.092,0.052,0.07,0.046,1.529,69.79
