Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor1.1,A2,0.107,0.098,0.22,0.077,0.028,0.021,0.104,1.325,0.271,28.287
1,SPL2,Tor1.2,B2,0.113,0.086,0.227,0.058,0.056,0.029,0.134,1.913,0.42,56.311
1,SPL3,Tor1.3,C2,0.122,0.093,0.234,0.059,0.063,0.034,0.139,1.884,0.456,63.29
1,SPL4,Tor1.4,D2,0.112,0.087,0.241,0.064,0.048,0.024,0.142,2.014,0.34,48.205
1,SPL5,Tor1.5,E2,0.146,0.103,0.264,0.063,0.087,0.042,0.167,2.063,0.518,86.658
1,SPL6,Tor1.6,F2,0.107,0.084,0.252,0.062,0.044,0.021,0.156,2.094,0.284,44.209
1,SPL7,Tor1.7,G2,0.119,0.094,0.261,0.068,0.052,0.026,0.158,1.996,0.327,51.686
1,SPL8,Tor1.8,H2,0.07,0.06,0.161,0.05,0.018,0.009,0.067,1.893,0.263,17.55
1,SPL9,Tor1.9,A3,0.106,0.08,0.174,0.048,0.061,0.034,0.089,1.801,0.685,60.671
1,SPL10,Tor1.10,B3,0.125,0.097,0.245,0.063,0.065,0.036,0.152,1.829,0.43,65.385
1,SPL11,Tor1.11,C3,0.133,0.104,0.251,0.072,0.063,0.034,0.146,1.83,0.432,62.907
1,SPL12,Tor1.12,D3,0.118,0.092,0.226,0.063,0.056,0.03,0.129,1.898,0.436,56.441
1,SPL13,Tor1.13,E3,0.251,0.183,0.351,0.123,0.138,0.064,0.202,2.148,0.686,138.46
1,SPL14,Tor1.14,F3,0.137,0.102,0.243,0.064,0.072,0.037,0.144,1.964,0.499,71.81
1,SPL15,Tor1.15,G3,0.191,0.125,0.255,0.058,0.143,0.071,0.163,2.003,0.875,142.572
1,SPL16,Tor1.16,H3,0.074,0.064,0.184,0.051,0.02,0.012,0.093,1.724,0.217,20.214
1,SPL17,Tor1.17,A5,0.14,0.102,0.209,0.058,0.089,0.049,0.12,1.842,0.743,89.452
1,SPL18,Tor1.18,B5,0.133,0.109,0.246,0.084,0.051,0.028,0.135,1.839,0.376,50.713
1,SPL19,Tor1.19,C5,0.11,0.087,0.222,0.063,0.049,0.026,0.132,1.909,0.373,49.261
1,SPL20,Tor1.20,D5,0.115,0.09,0.23,0.065,0.053,0.026,0.139,2.059,0.382,53.181
