Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor52.1,A2,0.201,0.137,0.255,0.053,0.159,0.09,0.133,1.761,1.192,159.101
1,SPL2,Tor52.2,B2,0.115,0.092,0.216,0.056,0.06,0.038,0.089,1.608,0.683,60.437
1,SPL3,Tor52.3,C2,0.17,0.129,0.285,0.066,0.109,0.066,0.153,1.65,0.711,108.623
1,SPL4,Tor52.4,D2,0.247,0.187,0.439,0.107,0.15,0.086,0.28,1.738,0.535,149.823
1,SPL5,Tor52.5,E2,0.185,0.147,0.312,0.094,0.095,0.056,0.152,1.689,0.624,94.526
1,SPL6,Tor52.6,F2,0.226,0.175,0.403,0.111,0.121,0.069,0.234,1.768,0.519,121.353
1,SPL7,Tor52.7,G2,0.095,0.07,0.177,0.045,0.05,0.025,0.053,1.957,0.934,49.813
1,SPL8,Tor52.8,H2,0.11,0.085,0.197,0.054,0.049,0.027,0.065,1.807,0.75,48.675
1,SPL9,Tor52.9,A3,0.124,0.093,0.232,0.053,0.074,0.043,0.113,1.727,0.654,73.826
1,SPL10,Tor52.10,B3,0.101,0.079,0.201,0.051,0.051,0.028,0.08,1.804,0.64,51.018
1,SPL11,Tor52.11,C3,0.103,0.084,0.214,0.059,0.043,0.025,0.086,1.753,0.503,43.136
1,SPL12,Tor52.12,D3,0.148,0.108,0.239,0.058,0.091,0.051,0.134,1.799,0.679,91.225
1,SPL13,Tor52.13,E3,1.285,0.928,2.156,0.43,0.951,0.555,1.844,1.713,0.516,951.422
1,SPL14,Tor52.14,F3,0.116,0.096,0.244,0.068,0.046,0.028,0.101,1.677,0.458,46.243
1,SPL15,Tor52.15,G3,0.389,0.333,0.548,0.233,0.166,0.107,0.256,1.553,0.65,166.297
1,SPL16,Tor52.16,H3,0.061,0.052,0.152,0.04,0.018,0.011,0.033,1.643,0.538,17.981
1,SPL17,Tor52.17,A5,0.097,0.081,0.197,0.058,0.038,0.024,0.072,1.583,0.524,37.523
1,SPL18,Tor52.18,B5,0.07,0.061,0.167,0.05,0.017,0.009,0.048,1.872,0.353,17.06
1,SPL19,Tor52.19,C5,0.067,0.058,0.172,0.047,0.015,0.008,0.071,1.826,0.208,14.778
1,SPL20,Tor52.20,D5,0.286,0.246,0.744,0.181,0.117,0.073,0.574,1.615,0.204,117.164
1,SPL21,Tor53.1,E5,0.064,0.057,0.182,0.047,0.014,0.008,0.071,1.694,0.203,14.383
