Sample Results,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sample Read#,Well ID,Name,Location,260 Raw,280 Raw,230 Raw,320 Raw,260,280,230,260/280,260/230,ng/µL
1,SPL1,Tor118.1,A2,0.054,0.047,0.099,0.038,0.013,0.007,0.013,1.852,0.983,12.634
1,SPL2,Tor118.2,B2,0.053,0.047,0.101,0.038,0.012,0.007,0.015,1.73,0.79,12.154
1,SPL3,Tor118.3,C2,0.049,0.045,0.101,0.042,0.002,0.001,0.011,2.333,0.221,2.328
1,SPL4,Tor118.4,D2,0.078,0.061,0.114,0.041,0.036,0.02,0.027,1.822,1.355,36.348
1,SPL5,Tor118.5,E2,0.057,0.048,0.103,0.039,0.015,0.008,0.016,1.863,0.919,15.071
1,SPL6,Tor118.6,F2,0.057,0.049,0.103,0.039,0.014,0.008,0.016,1.761,0.85,13.815
1,SPL7,Tor118.7,G2,0.286,0.24,0.351,0.154,0.14,0.093,0.162,1.514,0.865,140.291
1,SPL8,Tor118.8,H2,0.124,0.091,0.143,0.041,0.086,0.052,0.057,1.654,1.521,85.982
1,SPL9,Tor118.9,A3,0.293,0.179,0.209,0.047,0.273,0.146,0.129,1.867,2.111,272.851
1,SPL10,Tor118.10,B3,0.076,0.06,0.112,0.042,0.033,0.018,0.025,1.844,1.335,33.371
1,SPL11,Tor118.11,C3,0.05,0.044,0.093,0.037,0.009,0.006,0.007,1.612,1.197,8.874
1,SPL12,Tor118.12,D3,0.059,0.051,0.104,0.041,0.015,0.009,0.017,1.763,0.905,15.036
1,SPL13,Tor118.13,E3,0.223,0.143,0.182,0.047,0.192,0.106,0.098,1.817,1.956,191.963
1,SPL14,Tor118.14,F3,0.154,0.108,0.158,0.049,0.107,0.06,0.065,1.785,1.637,107.159
1,SPL15,Tor118.15,G3,0.068,0.055,0.105,0.038,0.027,0.016,0.019,1.732,1.439,27.273
1,SPL16,Tor118.16,H3,0.059,0.05,0.103,0.038,0.018,0.011,0.018,1.677,1.013,17.981
1,SPL17,Tor118.17,A5,0.114,0.089,0.143,0.058,0.059,0.033,0.043,1.806,1.366,59.363
1,SPL18,Tor118.18,B5,0.108,0.083,0.132,0.055,0.055,0.03,0.035,1.817,1.572,54.569
1,SPL19,Tor118.19,C5,0.08,0.066,0.121,0.047,0.032,0.019,0.032,1.71,1.015,32.489
1,SPL20,Tor118.20,D5,0.055,0.05,0.102,0.043,0.009,0.005,0.016,1.659,0.549,8.57
1,SPL21,Tor119.1,E5,0.058,0.05,0.101,0.041,0.016,0.009,0.018,1.737,0.886,15.562
1,SPL22,Tor119.2,F5,0.098,0.076,0.126,0.048,0.054,0.03,0.039,1.767,1.372,53.728
1,SPL23,Tor119.3,G5,0.065,0.054,0.104,0.04,0.025,0.014,0.022,1.81,1.129,24.876
1,SPL24,Tor119.4,H5,0.096,0.077,0.149,0.051,0.048,0.028,0.06,1.7,0.8,47.591
1,SPL25,Tor119.5,A6,0.067,0.055,0.099,0.04,0.026,0.014,0.013,1.867,2.018,26.053
1,SPL26,Tor119.6,B6,0.064,0.052,0.097,0.039,0.025,0.013,0.016,1.817,1.526,24.531
1,SPL27,Tor119.7,C6,0.074,0.06,0.118,0.043,0.032,0.018,0.036,1.791,0.904,32.334
1,SPL28,Tor119.8,D6,0.063,0.052,0.1,0.04,0.022,0.012,0.019,1.806,1.185,22.033
1,SPL29,Tor119.9,E6,0.109,0.078,0.122,0.041,0.076,0.041,0.043,1.825,1.755,75.653
1,SPL30,Tor119.10,F6,0.057,0.048,0.093,0.038,0.017,0.01,0.011,1.838,1.564,17.483
1,SPL31,Tor119.11,G6,0.054,0.051,0.1,0.045,0.005,0.003,0.012,1.414,0.414,4.9
1,SPL32,Tor119.12,H6,0.078,0.071,0.112,0.053,0.025,0.019,0.015,1.35,1.656,25.292
1,SPL33,Tor119.13,A8,0.283,0.179,0.231,0.055,0.26,0.142,0.15,1.829,1.732,259.894
1,SPL34,Tor119.14,B8,0.122,0.106,0.173,0.091,0.029,0.012,0.039,2.321,0.749,28.954
1,SPL35,Tor119.15,C8,0.096,0.075,0.128,0.051,0.047,0.026,0.037,1.814,1.262,46.814
1,SPL36,Tor119.16,D8,0.071,0.056,0.105,0.04,0.028,0.015,0.022,1.827,1.24,27.689
1,SPL37,Tor119.17,E8,0.08,0.067,0.121,0.05,0.029,0.016,0.029,1.775,0.984,28.533
1,SPL38,Tor119.18,F8,0.119,0.083,0.122,0.04,0.084,0.045,0.041,1.851,2.061,83.633
1,SPL39,Tor119.19,G8,0.09,0.066,0.113,0.038,0.052,0.028,0.035,1.847,1.492,51.611
1,SPL40,Tor119.20,H8,0.08,0.066,0.132,0.047,0.032,0.018,0.042,1.799,0.773,32.193
,,Yellow background indicates a high reference wavelength read,,,,,,,,,,,
