city,site,n
Albuquerque,r,10
Albuquerque,u,10
Antwerp,r,10
Antwerp,u,10
Armidale,r,10
Armidale,u,10
Athens,r,10
Athens,u,10
Bogota,r,10
Bogota,u,10
Buenos_Aires,r,10
Buenos_Aires,u,10
Calgary,r,10
Calgary,u,10
Canberra,r,10
Canberra,u,10
Cape_Town,r,10
Cape_Town,u,10
Christchurch,r,10
Christchurch,u,10
Hiroshima,r,10
Hiroshima,u,10
Kunming,r,10
Kunming,u,10
Kyoto,r,10
Kyoto,u,10
Landshut,r,10
Landshut,u,10
Linkoping,r,10
Linkoping,u,10
Loja,r,10
Loja,u,10
Medellin,r,10
Medellin,u,10
Melbourne,r,10
Melbourne,u,10
Memphis,r,10
Memphis,u,10
Mexico_City,r,10
Mexico_City,u,10
Munich,r,10
Munich,u,10
Paris,r,10
Paris,u,10
Quito,r,10
Quito,u,10
Tehran,r,10
Tehran,u,10
Thessaloniki,r,10
Thessaloniki,u,10
