Sample	Habitat	Population	Plant	HCN_Result	Locus.Li	Locus.Ac
s_40_1	Urban	40	1	0	NA	0
s_40_3	Urban	40	3	0	NA	0
s_40_6	Urban	40	6	0	NA	0
s_40_7	Urban	40	7	0	NA	0
s_40_8	Urban	40	8	0	NA	1
s_40_10	Urban	40	10	0	NA	0
s_40_12	Urban	40	12	1	NA	1
s_40_17	Urban	40	17	0	NA	1
s_40_19	Urban	40	19	0	NA	0
s_41_1	Urban	41	1	0	0	NA
s_41_2	Urban	41	2	0	1	NA
s_41_7	Urban	41	7	0	1	NA
s_41_8	Urban	41	8	0	0	NA
s_41_12	Urban	41	12	0	0	NA
s_41_13	Urban	41	13	0	1	NA
s_41_14	Urban	41	14	0	0	NA
s_41_16	Urban	41	16	0	1	NA
s_41_18	Urban	41	18	1	1	NA
s_42_1	Urban	42	1	0	NA	1
s_42_3	Urban	42	3	0	NA	0
s_42_5	Urban	42	5	0	NA	1
s_42_9	Urban	42	9	1	NA	1
s_42_10	Urban	42	10	0	NA	1
s_42_11	Urban	42	11	0	NA	0
s_42_13	Urban	42	13	0	NA	0
s_42_17	Urban	42	17	0	NA	0
s_42_20	Urban	42	20	0	NA	1
s_43_4	Urban	43	4	0	0	NA
s_43_5	Urban	43	5	0	0	NA
s_43_6	Urban	43	6	0	1	NA
s_43_8	Urban	43	8	1	1	NA
s_43_10	Urban	43	10	0	1	NA
s_43_12	Urban	43	12	0	1	NA
s_43_13	Urban	43	13	0	0	NA
s_43_14	Urban	43	14	0	1	NA
s_43_15	Urban	43	15	0	0	NA
s_1_9	Rural	1	9	0	1	NA
s_2_3	Rural	2	3	0	NA	1
s_3_5	Rural	3	5	0	0	NA
s_4_18	Rural	4	18	1	NA	1
s_5_16	Rural	5	16	0	1	NA
s_97_3	Rural	97	3	0	0	NA
s_97_4	Rural	97	4	0	0	NA
s_97_6	Rural	97	6	1	1	NA
s_97_7	Rural	97	7	1	1	NA
s_97_9	Rural	97	9	1	1	NA
s_97_10	Rural	97	10	0	0	NA
s_97_11	Rural	97	11	0	0	NA
s_97_13	Rural	97	13	1	1	NA
s_97_14	Rural	97	14	1	1	NA
s_98_1	Rural	98	1	0	NA	0
s_99_5	Rural	99	5	1	1	NA
s_100_13	Rural	100	13	0	NA	1
s_101_17	Rural	101	17	0	1	NA
s_6_8	Rural	6	8	1	NA	1
s_7_4	Rural	7	4	1	1	NA
s_7_6	Rural	7	6	1	1	NA
s_7_7	Rural	7	7	1	1	NA
s_7_11	Rural	7	11	0	1	NA
s_7_13	Rural	7	13	1	1	NA
s_7_14	Rural	7	14	NA	NA	NA
s_7_16	Rural	7	16	1	1	NA
s_7_19	Rural	7	19	0	1	NA
s_7_20	Rural	7	20	1	1	NA
s_21_18	Suburban	21	18	0	0	NA
s_22_15	Suburban	22	15	0	NA	1
s_23_4	Suburban	23	4	0	0	NA
s_23_6	Suburban	23	6	0	0	NA
s_23_7	Suburban	23	7	1	1	NA
s_23_9	Suburban	23	9	1	1	NA
s_23_12	Suburban	23	12	1	1	NA
s_23_15	Suburban	23	15	0	0	NA
s_23_17	Suburban	23	17	0	NA	NA
s_24_6	Suburban	24	6	1	NA	1
s_37_6	Urban	37	6	0	0	NA
s_37_8	Urban	37	8	0	0	NA
s_37_10	Urban	37	10	0	0	NA
s_37_11	Urban	37	11	1	1	NA
s_37_12	Urban	37	12	0	0	NA
s_37_13	Urban	37	13	0	0	NA
s_37_15	Urban	37	15	0	1	NA
s_37_16	Urban	37	16	0	0	NA
s_37_18	Urban	37	18	0	0	NA
s_52_3	Suburban	52	3	0	NA	1
s_53_11	Suburban	53	11	0	0	NA
s_54_7	Suburban	54	7	0	NA	1
s_54_8	Suburban	54	8	0	NA	1
s_54_9	Suburban	54	9	NA	NA	NA
s_54_15	Suburban	54	15	0	NA	1
s_54_16	Suburban	54	16	0	NA	0
s_54_18	Suburban	54	18	1	NA	1
s_54_20	Suburban	54	20	0	NA	1
s_56_1	Suburban	56	1	0	NA	1
s_77_18	Rural	77	18	1	1	NA
s_78_4	Rural	78	4	0	NA	0
s_79_17	Rural	79	17	0	1	NA
s_80_18	Rural	80	18	1	NA	1
s_81_3	Rural	81	3	0	0	NA
s_82_19	Rural	82	19	0	NA	1
s_83_5	Rural	83	5	0	0	NA
s_83_9	Rural	83	9	1	1	NA
s_83_10	Rural	83	10	1	1	NA
s_83_11	Rural	83	11	0	1	NA
s_83_13	Rural	83	13	1	1	NA
s_83_14	Rural	83	14	0	0	NA
s_83_15	Rural	83	15	1	1	NA
s_83_17	Rural	83	17	1	1	NA
s_83_18	Rural	83	18	1	1	NA
s_95_15	Rural	95	15	1	1	NA
s_96_5	Rural	96	5	0	NA	1
s_115_6	Suburban	115	6	1	1	1
s_116_1	Suburban	116	1	0	NA	0
s_116_3	Suburban	116	3	1	NA	1
s_116_7	Suburban	116	7	0	NA	0
s_116_12	Suburban	116	12	1	NA	1
s_116_15	Suburban	116	15	0	NA	1
s_116_17	Suburban	116	17	0	NA	1
s_116_18	Suburban	116	18	1	NA	1
s_117_6	Suburban	117	6	0	0	NA
s_119_19	Suburban	119	19	0	0	NA
