city,betaRLM_freqHCN,sigRLM,Mean_summerLST,betaRLM_winterNDVI,fsummerLST_Mean,LST_cat
Acton,0.022,No,-0.8078444965875681,-0.5638222444768847,0,mean
Albuquerque,-0.185,Yes,2.0519603476115287,-0.7109776242087474,1,high
Almada,0.026,No,0.12698781463124287,-0.20206526930272226,0,mean
Amsterdam,0.108,No,-0.9639928765847661,-0.7722923657636901,0,mean
Anchorage,-0.011,No,-1.6009342091598289,0.7237873281769138,-1,low
Angus,0.032,No,-1.1883114719019932,-1.4835433678010264,-1,low
Antwerp,0.333,Yes,1.2413779005420544,1.257225579704916,1,high
Armidale,0.319,Yes,-0.7306706679233843,-0.011989570482399644,0,mean
Athens,0.423,Yes,0.15811459219246418,0.5827634226005453,0,mean
Atlanta,0.379,Yes,1.087544735404782,0.30684708560330287,1,high
Atlantic_City,-0.207,Yes,-1.2472208277823207,0.6563411124664766,-1,low
Baltimore,0.032,No,-0.11276554641882144,-0.3124318041016193,0,mean
Barrie,0.044,No,-1.8039013785466311,0.619552267533511,-1,low
Baton_Rouge,0.35,Yes,-0.6254570148445475,-0.7845553140746787,0,mean
Beijing,-0.376,No,1.0741679384363236,-1.189232608337301,1,high
Berlin,0.191,Yes,-0.5755512723083758,1.018098087640639,0,mean
Bern,-0.062,No,0.4413425433900178,-1.0236828061389556,0,mean
Bogota,0.208,No,-1.3231084259687673,2.6000184197581633,-1,low
Boston,0.134,Yes,-0.4564463300699854,-0.6680573051202874,0,mean
Bradford,-0.065,No,-0.37258410292157246,-0.6619258309647932,0,mean
Brantford,0.091,No,-0.5367071118807357,-0.7784238399191844,0,mean
Brighton,0.326,Yes,0.34281728879540935,-0.4534557096779877,0,mean
Brussels,0.117,No,-0.7157503943816421,0.8034964921983394,0,mean
Buenos_Aires,0.021,No,0.02357488422123657,0.5705004742895567,0,mean
Burlington,-0.251,Yes,-0.40602609534271933,-0.5086389770774362,0,mean
Calgary,0.193,Yes,-0.6452649642016884,-1.8391688688196945,0,mean
Cambridge,0.427,Yes,-0.18968212898745765,0.34976740469176265,0,mean
Canberra,-0.014,No,1.4376566714446277,-1.4896748419565207,1,high
Cape_Town,0.022,No,-0.6519533626859176,0.2700582406703371,0,mean
Charlotte,-0.002,No,0.27696228833530595,-0.5515592961658962,0,mean
Charlottetown,0.032,No,-1.334941746363942,-0.6006110894098504,-1,low
Chicago,0.167,Yes,0.18332470955609723,-0.8949218488735758,0,mean
Christchurch,0.429,Yes,-0.4896310763955838,1.631245503190067,0,mean
Cincinnati,0.03,No,0.1218428927202965,-0.1100931569703081,0,mean
Cleveland,0.064,No,-1.6523834282692844,-0.5760851927878732,-1,low
Cobourg,0.052,No,-0.2743160944225125,-0.968499538739507,0,mean
Cologne,0.023,No,-0.012696815250929276,-0.2327226400801937,0,mean
Curitiba,-0.041,No,-0.18016402345220858,1.2940144246378817,0,mean
Denver,-0.044,No,1.2668452640012342,-0.32469475241260787,1,high
Detroit,0.063,No,-0.6745910190940775,-1.3915712554686124,0,mean
Edmonton,0.046,No,-0.20074371109599043,-1.078866073538404,0,mean
Elmira,-0.058,No,-0.0674902336024999,-1.2137585049592783,0,mean
Everett,0.133,No,-1.6619015338045335,-0.9255792196510473,-1,low
Fairbanks,0.016,No,-1.0396232286756661,-0.07330431203734249,-1,low
Fergus,0.288,Yes,-0.33939935659597403,-0.8029497365411615,0,mean
Fort_Collins,-0.083,No,0.40815779706441757,-0.7600294174527016,0,mean
Frankfurt,0.314,Yes,-1.5608038182544528,0.6808670090884538,-1,low
Fredericton,-0.001,No,-0.35895005985756734,-0.15301347605876808,0,mean
Freehold,-0.132,Yes,-1.1955143625773175,0.1719546541824286,-1,low
Georgetown,0.088,No,-1.2868367264966014,-0.6741887792757817,-1,low
Ghent,0.173,No,0.6937009631218968,1.2081737864609619,0,mean
Glasgow,-0.245,No,-2.0102127471755487,1.165253467372502,-1,low
Guelph,0.286,Yes,-0.5688628738241456,-1.0666031252274155,0,mean
Halifax,0.042,No,-1.2914671562164528,0.3436359305362684,-1,low
Halle,0.237,Yes,-1.262655593515157,2.863671808444417,-1,low
Helsinki,-0.024,No,-1.1679890303537588,-0.22045969176920513,-1,low
Hempstead,0.193,Yes,1.7033918881449668,1.2878829504823874,1,high
Hiroshima,-0.007,No,0.5709945755458458,0.6563411124664766,0,mean
Houston,0.118,Yes,1.115584559819434,0.1780861283379229,1,high
Indianapolis,0.036,No,1.2547546975105128,-1.0727345993829096,1,high
Jacksonville,0.203,Yes,0.9059289919484025,0.16582318002693433,0,mean
Kingston,0.083,No,1.348135030194175,-0.9439736421175299,1,high
Kunming,-0.111,No,0.3626252381525494,0.8096279663538337,0,mean
Kyoto,-0.154,No,1.4379139175401743,0.46626541364615404,1,high
La_Verne,0.087,No,-0.12176915976297532,-0.35535212319007925,0,mean
Lake_Charles,0.119,No,-0.6143954327360138,0.5337116293565912,0,mean
Landshut,-0.021,No,-0.08678369076854653,2.1708152288735634,0,mean
Lansing,0.015,No,0.4068715665866824,-0.8949218488735758,0,mean
Lanzhou,-0.127,No,0.21110728787520255,-0.5638222444768847,0,mean
Latacunga,0.232,No,0.5568460402907455,0.8770741820642708,0,mean
Leiden,0.155,No,-0.17193214839469476,-1.4712804194900377,0,mean
Leuven,0.081,No,2.6356517384083036,0.6134207933780167,1,high
Lisbon,-0.103,No,-0.20897558615350428,1.43503833021425,0,mean
Little_Rock,0.42,Yes,1.6943882748008112,0.4785283619571426,1,high
Loja,0.156,Yes,-0.8986523683157579,2.1278949097851036,0,mean
London,0.001,No,1.673294094965934,-0.23885411423568798,1,high
Los_Angeles,0.111,No,1.3591966123027077,0.23940086989286574,1,high
Louisville,-0.023,No,0.26487172184458463,-0.6128740377208389,0,mean
Madison,0.069,No,0.14936822494385515,-0.8642644780961044,0,mean
Manchester,0.19,No,0.3044876205588646,0.8096279663538337,0,mean
Medellin,-0,No,-0.7852068401794082,0.8954686045307536,0,mean
Melbourne,0.26,No,-1.359637371536481,-0.416666864745022,-1,low
Memphis,0.436,Yes,1.2480662990262827,1.128464622439536,1,high
Mexico_City,-0.103,No,0.5162011571942751,-0.1898023209917337,0,mean
Minneapolis,0.018,No,1.4572073747062209,-0.7293720466752303,1,high
Moncton,0.008,No,-0.312903008754604,-0.35535212319007925,0,mean
Montreal,-0.079,No,-3.4900266466125713e-4,-0.7293720466752303,0,mean
Morelia,0.323,No,1.2730191702943692,0.4417395170241769,1,high
Muenster,0.467,Yes,-0.19791400404496967,0.6686040607774653,0,mean
Munich,0.092,No,0.5331793995003962,0.8525482854422937,0,mean
New_Tecumseth,-0.043,No,-0.843344457773093,-0.569953718632379,0,mean
New_York,0.165,Yes,-1.0720362367146237,0.5030542585791198,-1,low
Newcastle,0.303,No,0.30345863617667607,-0.27564295916865367,0,mean
Newhaven,0.163,Yes,0.3687991444456843,-0.9991569095169784,0,mean
Norfolk,0.353,Yes,0.03077777489656004,-0.37374654565656207,0,mean
Norrtalje,-0.11,Yes,0.6471394198278401,0.3742933013137398,0,mean
North_Bay,-0.023,No,-1.816249191132901,0.2700582406703371,-1,low
Orangeville,0.055,No,-0.8315111373779183,-0.9623680645840128,0,mean
Ottawa,0.023,No,-0.23830164104589333,-0.6067425635653446,0,mean
Palmerston_North,0.405,Yes,0.2368318974299308,1.43503833021425,0,mean
Paris,-0.087,No,-1.5978472560132615,1.1100701999730533,-1,low
Parramata,0.876,Yes,0.09097336125462371,-0.6067425635653446,0,mean
Philadelphia,-0.012,No,-0.4963194748798139,-1.7042764373988206,0,mean
Pittsburgh,0.095,No,-0.8207068013649322,1.1223331482840417,0,mean
Port_Hope,0.129,No,-0.5999896513853669,-0.8274756331631387,0,mean
Portland,0.007,No,0.24943695611174732,1.4718271751472156,0,mean
Portlandme,-0.028,No,-0.7738880119753279,0.19034907664891146,0,mean
Providence,0.117,Yes,0.06550599779544215,0.09837696431649738,0,mean
Punta_Arenas,0.218,Yes,-3.412718460099313,0.4785283619571426,-1,low
Quebec_City,0.075,No,-0.23778714885479815,-0.9868939612059899,0,mean
Quito,-0.005,No,0.24480652639189612,-1.1401808150933468,0,mean
Raleigh,0.089,No,0.11824144738263567,1.3798550628148016,0,mean
Rancagua,0.056,No,0.3870636172295405,1.6802972964340213,0,mean
Reading,0.702,Yes,-0.4155442008779684,1.2756200021713988,0,mean
Rennes,-0.009,No,0.122100138815845,1.8703729952543438,0,mean
Reutlingen,0.255,No,0.6183278571265444,-0.8642644780961044,0,mean
Rochester,-0.002,No,-0.08832716734183026,-1.011419857827967,0,mean
Rockford,0.024,No,-0.18762416022307873,-0.9317106938065414,0,mean
Sacramento,0.334,Yes,1.9030148582896542,0.04319369691704882,1,high
Saint_Thomas,-0.122,No,1.7983156974019128,-0.6312684601873217,1,high
Salem,0.181,No,1.0173165513203741,0.10450843847199166,1,high
Santa_Maria,0.159,No,0.5313786768315639,0.1290343350939688,0,mean
Santiago,0.153,Yes,0.9244507108278073,0.9506518719302022,0,mean
Sapporo,0.104,No,-0.051283729583020715,-0.833607107318633,0,mean
Seattle,0.148,No,-0.1840227148854179,1.2756200021713988,0,mean
Shanghai,0.669,Yes,1.4975950117071428,-0.7722923657636901,1,high
Sioux_Falls,-0.025,No,0.15579937733253857,-0.8397385814741273,0,mean
St_Louis,0.112,No,0.40712881268222906,0.1290343350939688,0,mean
Starkville,-0.056,No,1.5377254026125198,0.39268772378022265,1,high
Stockholm,-0.053,No,0.4670671529447442,-0.20819674345821657,0,mean
Stratford,0.098,No,-0.7790329338862733,-0.790686788230173,0,mean
Stuttgart,-0.022,No,0.3111760190430947,-1.9924557227070516,0,mean
Sudbury,-0.137,Yes,1.6722651105837456,-0.5760851927878732,1,high
Tacoma,-0.033,No,0.5002518992703444,1.361460640348319,0,mean
Talca,-0.058,No,0.3646832069169283,1.8090582536994009,0,mean
Tampa,-0,No,0.2988282064568249,-0.6680573051202874,0,mean
Tehran,0.431,Yes,3.3865530913108115,-0.06717283788184819,1,high
Temuco,0.016,No,-1.3508910042878737,1.8703729952543438,-1,low
Thessaloniki,0.421,Yes,0.24326304981861238,0.619552267533511,0,mean
Tokyo,0.066,No,-0.9086849660421011,-0.7600294174527016,0,mean
Toluca,0.631,No,1.2984865337535507,0.16582318002693433,1,high
Toronto,0.301,Yes,-0.7232105311525132,-1.011419857827967,0,mean
Trondheim,-0.022,No,-1.1983440696283374,-0.8274756331631387,-1,low
Uppsala,-0.026,No,-1.5227313961134556,2.158552280562575,-1,low
Uruapan,-0.131,No,1.1562294429159043,2.005265426675218,1,high
Vancouver,0.243,Yes,0.9023275466107399,0.5214486810456026,0,mean
Victoria,0.303,Yes,-0.2321277347527584,1.257225579704916,0,mean
