city,yint_Dist,betaLog_Dist,pvalLog_Dist,yint_GMIS,betaLog_GMIS,pvalLog_GMIS,yint_hii,betaLog_hii,pvalLog_hii,continent
Acton,-0.571,0.173,0.587,-0.367,-0.355,0.246,-0.482,-0.022,0.916,North America
Albuquerque,-0.825,-0.839,0.004,-1.236,0.021,0.955,-1.604,0.781,0,North America
Almada,3.18,0.821,0.345,2.845,0.846,0.281,3.954,-0.49,0.636,Europe
Amsterdam,-1.868,0.8,0.012,-1.318,-0.496,0.112,-1.096,-0.706,0.006,Europe
Anchorage,-2.181,-0.256,0.645,-2.434,0.136,0.723,-2.493,0.443,0.303,North America
Angus,-0.744,0.097,0.819,-0.586,-0.226,0.411,-0.557,-0.216,0.436,North America
Antwerp,-2.234,2.15,0,-0.613,-2.196,0,-0.308,-1.674,0,Europe
Armidale,0.215,1.487,0,1.216,-2.224,0,0.892,-0.162,0.425,Oceania
Athens,-0.586,1.565,0,0.295,-1.142,0,0.489,-0.858,0,North America
Atlanta,-1.021,1.482,0,0.356,-1.501,0,0.829,-1.648,0,North America
Atlantic_City,0.167,-0.871,0.001,-0.596,0.743,0,-0.261,-0.051,0.882,North America
Baltimore,-1.366,0.187,0.549,-1.365,0.199,0.497,-1.412,0.197,0.426,North America
Barrie,-0.988,0.373,0.229,-0.786,-0.128,0.694,-0.702,-0.214,0.523,North America
Baton_Rouge,-0.052,3.895,0,1.99,-1.569,0,2.161,-1.224,0,North America
Beijing,1.453,-1.668,0.001,0.376,0.225,0.465,0.035,0.652,0.022,Asia
Berlin,-2.152,1.039,0.013,-1.488,-0.319,0.5,-1.174,-0.766,0.015,Europe
Bern,0.261,-0.271,0.279,0.104,0.067,0.794,0.072,0.116,0.616,Europe
Bogota,-0.865,0.839,0.014,-0.064,-1.087,0,-0.296,-0.152,0.598,South America
Boston,-1.8,0.759,0.007,-1.626,0.533,0.09,-1.18,-0.562,0.042,North America
Bradford,-0.982,-0.096,0.809,-0.986,-0.097,0.757,-1.07,0.072,0.806,North America
Brantford,-0.961,0.449,0.172,-0.566,-0.374,0.298,-0.569,-0.421,0.128,North America
Brighton,-0.893,1.422,0,0.146,-1.13,0,0.708,-1.333,0,Europe
Brussels,-0.868,0.629,0.029,-0.586,0.06,0.806,-0.762,0.27,0.39,Europe
Buenos_Aires,1.129,0.015,0.95,1.052,0.22,0.461,1.024,0.271,0.4,South America
Burlington,0.763,-0.868,0,0.047,0.778,0.002,0.12,0.483,0.058,North America
Calgary,-2.22,1.168,0.014,-2.309,0.774,0.121,-1.422,-0.563,0.156,North America
Cambridge,-1.772,2.164,0,-0.414,-1.516,0,0.138,-1.358,0,Europe
Canberra,1.051,-0.056,0.841,1.041,-0.047,0.878,0.95,0.141,0.696,Oceania
Cape_Town,1.209,0.851,0.159,1.915,-1.265,0.003,2.033,-1.168,0.021,Africa
Charlotte,-0.69,0.049,0.857,-0.513,-0.507,0.085,-0.565,-0.166,0.495,North America
Charlottetown,-0.644,0.135,0.559,-0.529,-0.235,0.297,-0.469,-0.159,0.47,North America
Chicago,-1.664,0.9,0.01,-1.039,-0.339,0.275,-0.882,-0.625,0.032,North America
Christchurch,-0.138,1.889,0,1.148,-2.057,0,1.09,-1.162,0,Oceania
Cincinnati,-1.46,0.237,0.466,-1.338,-0.035,0.907,-1.077,-0.492,0.104,North America
Cleveland,-1.226,0.474,0.111,-0.864,-0.429,0.088,-0.866,-0.193,0.407,North America
Cobourg,-1.315,-0.091,0.802,-1.414,0.273,0.531,-1.178,-0.207,0.62,North America
Cologne,-0.393,0.217,0.49,-0.174,-0.401,0.265,-0.094,-0.292,0.359,Europe
Curitiba,1.342,-0.341,0.212,1.101,0.224,0.512,1.004,0.354,0.205,South America
