city,betaLin,pvalLin,betaQuad,pvalQuad,yInt,predicted,modelOrderBestFit,continent,betaLog.x,pvalLog.x,betaLog.y,pvalLog.y
Acton,0.022,0.846,NA,NA,0.364,0.386,linear,North America,0.173,0.587,0.173,0.587
Albuquerque,-1.36,0.002,1.239,0.005,0.477,0.355,quadratic,North America,-0.839,0.004,-0.839,0.004
Almada,0.026,0.234,NA,NA,0.968,0.994,linear,Europe,0.821,0.345,0.821,0.345
Amsterdam,0.108,0.169,NA,NA,0.126,0.234,linear,Europe,0.8,0.012,0.8,0.012
Anchorage,-0.011,0.816,NA,NA,0.09,0.079,linear,North America,-0.256,0.645,-0.256,0.645
Angus,0.032,0.837,NA,NA,0.296,0.329,linear,North America,0.097,0.819,0.097,0.819
Antwerp,1.226,0.009,-0.902,0.049,-0.073,0.252,quadratic,Europe,2.15,0,2.15,0
Armidale,1.701,0,-1.482,0,0.379,0.599,quadratic,Oceania,1.487,0,1.487,0
Athens,0.423,0.004,NA,NA,0.334,0.758,linear,North America,1.565,0,1.565,0
Atlanta,0.379,0,NA,NA,0.24,0.618,linear,North America,1.482,0,1.482,0
Atlantic_City,-0.207,0.013,NA,NA,0.534,0.327,linear,North America,-0.871,0.001,-0.871,0.001
Baltimore,0.032,0.711,NA,NA,0.196,0.228,linear,North America,0.187,0.549,0.187,0.549
Barrie,0.044,0.601,NA,NA,0.278,0.322,linear,North America,0.373,0.229,0.373,0.229
Baton_Rouge,1.176,0,-0.782,0.003,0.509,0.902,quadratic,North America,3.895,0,3.895,0
Beijing,-0.376,0.174,NA,NA,0.827,0.451,linear,Asia,-1.668,0.001,-1.668,0.001
Berlin,0.191,0.017,NA,NA,0.076,0.267,linear,Europe,1.039,0.013,1.039,0.013
Bern,-0.062,0.568,NA,NA,0.567,0.504,linear,Europe,-0.271,0.279,-0.271,0.279
Bogota,0.208,0.079,NA,NA,0.268,0.476,linear,South America,0.839,0.014,0.839,0.014
Boston,0.134,0.04,NA,NA,0.118,0.252,linear,North America,0.759,0.007,0.759,0.007
Bradford,-0.065,0.477,NA,NA,0.293,0.228,linear,North America,-0.096,0.809,-0.096,0.809
Brantford,0.091,0.365,NA,NA,0.276,0.367,linear,North America,0.449,0.172,0.449,0.172
Brighton,0.326,0.002,NA,NA,0.302,0.628,linear,Europe,1.422,0,1.422,0
Brussels,0.117,0.185,NA,NA,0.273,0.39,linear,Europe,0.629,0.029,0.629,0.029
Buenos_Aires,0.021,0.757,NA,NA,0.75,0.771,linear,South America,0.015,0.95,0.015,0.95
Burlington,-0.251,0.002,NA,NA,0.715,0.463,linear,North America,-0.868,0,-0.868,0
Calgary,0.193,0.048,NA,NA,0.077,0.27,linear,North America,1.168,0.014,1.168,0.014
Cambridge,0.427,0,NA,NA,0.131,0.558,linear,Europe,2.164,0,2.164,0
