OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,quebec_city_013028_20180131_NDSI_pcs_OID,quebec_city_013028_20180131_NDSI_pcs_FID_,quebec_city_013028_20180131_NDSI_pcs_COUNT,quebec_city_013028_20180131_NDSI_pcs_AREA,quebec_city_013028_20180131_NDSI_pcs_MEAN
-1,Quebec_City,1,46.767989999999998,-71.435869999999994,20,11,0.550000000000000,46.813751000000003,-71.206165999999996,North America,18.212900000000001,24.087499999999999,0.756100000000000,100.000000000000000,0,0,0,36,32400.000000000000000,0.795859888196000
-1,Quebec_City,2,46.766010000000001,-71.431299999999993,20,10,0.500000000000000,46.813751000000003,-71.206165999999996,North America,17.943300000000001,24.087499999999999,0.744900000000000,100.000000000000000,1,1,1,32,28800.000000000000000,0.794020852074000
-1,Quebec_City,3,46.765110000000000,-71.419479999999993,20,4,0.200000000000000,46.813751000000003,-71.206165999999996,North America,17.117200000000000,24.087499999999999,0.710600000000000,100.000000000000000,2,2,2,35,31500.000000000000000,0.732003325224000
-1,Quebec_City,4,46.765279999999997,-71.413150000000002,13,11,0.846000000000000,46.813751000000003,-71.206165999999996,North America,16.654499999999999,24.087499999999999,0.691400000000000,100.000000000000000,3,3,3,34,30600.000000000000000,0.575619257548000
-1,Quebec_City,5,46.767249999999997,-71.442580000000007,19,7,0.368000000000000,46.813751000000003,-71.206165999999996,North America,18.726600000000001,24.087499999999999,0.777400000000000,100.000000000000000,4,4,4,37,33300.000000000000000,0.788309656285000
-1,Quebec_City,6,46.766559999999998,-71.449619999999996,20,12,0.600000000000000,46.813751000000003,-71.206165999999996,North America,19.263100000000001,24.087499999999999,0.799700000000000,100.000000000000000,5,5,5,37,33300.000000000000000,0.770311001185000
-1,Quebec_City,7,46.765709999999999,-71.470380000000006,20,7,0.350000000000000,46.813751000000003,-71.206165999999996,North America,20.812500000000000,24.087499999999999,0.864000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.895505045141000
-1,Quebec_City,8,46.764350000000000,-71.498549999999994,20,6,0.300000000000000,46.813751000000003,-71.206165999999996,North America,22.928000000000001,24.087499999999999,0.951900000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.844138467312000
-1,Quebec_City,9,46.763210000000001,-71.504930000000002,20,3,0.150000000000000,46.813751000000003,-71.206165999999996,North America,23.430199999999999,24.087499999999999,0.972700000000000,100.000000000000000,8,8,8,36,32400.000000000000000,0.847567141056000
-1,Quebec_City,10,46.761800000000001,-71.513310000000004,20,11,0.550000000000000,46.813751000000003,-71.206165999999996,North America,24.087499999999999,24.087499999999999,1.000000000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.835649173707000
