OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,landshut_192026_20150113_NDSI_pcs_OID,landshut_192026_20150113_NDSI_pcs_FID_,landshut_192026_20150113_NDSI_pcs_COUNT,landshut_192026_20150113_NDSI_pcs_AREA,landshut_192026_20150113_NDSI_pcs_MEAN
-1,Landshut,1,48.585880000000003,12.040139999999999,20,6,0.300000000000000,48.536217000000001,12.151655000000000,Europe,9.891500000000001,9.891500000000001,1.000000000000000,100.000000000000000,0,0,0,35,31500.000000000000000,-0.429853822078000
-1,Landshut,2,48.581760000000003,12.040789999999999,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,9.602900000000000,9.891500000000001,0.970800000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-0.442545457131000
-1,Landshut,3,48.581870000000002,12.042690000000000,20,2,0.100000000000000,48.536217000000001,12.151655000000000,Europe,9.490900000000000,9.891500000000001,0.959500000000000,100.000000000000000,2,2,2,28,25200.000000000000000,-0.354074316365000
-1,Landshut,4,48.581380000000003,12.047000000000001,13,2,0.154000000000000,48.536217000000001,12.151655000000000,Europe,9.194599999999999,9.891500000000001,0.929500000000000,100.000000000000000,3,3,3,35,31500.000000000000000,-0.123240636286000
-1,Landshut,5,48.580019999999998,12.048100000000000,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,9.044700000000001,9.891500000000001,0.914400000000000,100.000000000000000,4,4,4,34,30600.000000000000000,-0.273414048092000
-1,Landshut,6,48.578910000000000,12.051690000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,8.755699999999999,9.891500000000001,0.885200000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-0.384846996410000
-1,Landshut,7,48.578310000000002,12.053830000000000,20,8,0.400000000000000,48.536217000000001,12.151655000000000,Europe,8.587300000000001,9.891500000000001,0.868100000000000,100.000000000000000,6,6,6,30,27000.000000000000000,-0.014600613185500
-1,Landshut,8,48.579200000000000,12.056550000000000,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,8.475500000000000,9.891500000000001,0.856800000000000,100.000000000000000,7,7,7,32,28800.000000000000000,-0.155126067111000
-1,Landshut,9,48.577649999999998,12.060280000000001,20,7,0.350000000000000,48.536217000000001,12.151655000000000,Europe,8.151700000000000,9.891500000000001,0.824100000000000,100.000000000000000,8,8,8,33,29700.000000000000000,-0.346120178248000
-1,Landshut,11,48.575609999999998,12.065519999999999,20,1,0.050000000000000,48.536217000000001,12.151655000000000,Europe,7.705500000000000,9.891500000000001,0.779000000000000,100.000000000000000,9,9,9,35,31500.000000000000000,-0.498638581378000
-1,Landshut,12,48.573920000000001,12.066240000000001,20,7,0.350000000000000,48.536217000000001,12.151655000000000,Europe,7.556200000000000,9.891500000000001,0.763900000000000,100.000000000000000,10,10,10,36,32400.000000000000000,-0.320863426508000
-1,Landshut,13,48.573129999999999,12.068250000000001,20,3,0.150000000000000,48.536217000000001,12.151655000000000,Europe,7.384500000000000,9.891500000000001,0.746600000000000,100.000000000000000,11,11,11,33,29700.000000000000000,-0.227848530211000
-1,Landshut,14,48.572119999999998,12.070209999999999,20,5,0.250000000000000,48.536217000000001,12.151655000000000,Europe,7.202200000000000,9.891500000000001,0.728100000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-0.312927806271000
-1,Landshut,15,48.571230000000000,12.072039999999999,20,9,0.450000000000000,48.536217000000001,12.151655000000000,Europe,7.035300000000000,9.891500000000001,0.711200000000000,100.000000000000000,13,13,13,30,27000.000000000000000,-0.387430191909000
-1,Landshut,16,48.570619999999998,12.075410000000000,20,5,0.250000000000000,48.536217000000001,12.151655000000000,Europe,6.791600000000000,9.891500000000001,0.686600000000000,100.000000000000000,14,14,14,35,31500.000000000000000,-0.384717924893000
-1,Landshut,17,48.570050000000002,12.077730000000001,20,6,0.300000000000000,48.536217000000001,12.151655000000000,Europe,6.615000000000000,9.891500000000001,0.668800000000000,100.000000000000000,15,15,15,34,30600.000000000000000,-0.357570190202000
-1,Landshut,18,48.568129999999996,12.079599999999999,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,6.381200000000000,9.891500000000001,0.645100000000000,100.000000000000000,16,16,16,34,30600.000000000000000,-0.259105973165000
-1,Landshut,19,48.566699999999997,12.082140000000001,20,0,0.000000000000000,48.536217000000001,12.151655000000000,Europe,6.137500000000000,9.891500000000001,0.620500000000000,100.000000000000000,17,17,17,32,28800.000000000000000,-0.325532361865000
-1,Landshut,20,48.566589999999998,12.085129999999999,20,2,0.100000000000000,48.536217000000001,12.151655000000000,Europe,5.948400000000000,9.891500000000001,0.601400000000000,100.000000000000000,18,18,18,37,33300.000000000000000,-0.392568698606000
-1,Landshut,21,48.566049999999997,12.086320000000001,19,7,0.368000000000000,48.536217000000001,12.151655000000000,Europe,5.842200000000000,9.891500000000001,0.590600000000000,100.000000000000000,19,19,19,21,18900.000000000000000,-0.394381141379000
