OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,salem_046029_20160101_NDSI_pcs_OID,salem_046029_20160101_NDSI_pcs_FID_,salem_046029_20160101_NDSI_pcs_COUNT,salem_046029_20160101_NDSI_pcs_AREA,salem_046029_20160101_NDSI_pcs_MEAN
-1,Salem,1,45.117559999999997,-122.987049999999996,20,10,0.500000000000000,44.941017000000002,-123.038677000000007,North America,20.045600000000000,22.738399999999999,0.881600000000000,100.000000000000000,0,0,0,33,29700.000000000000000,-0.358863363663000
-1,Salem,2,45.143999999999998,-123.003590000000003,20,10,0.500000000000000,44.941017000000002,-123.038677000000007,North America,22.738399999999999,22.738399999999999,1.000000000000000,100.000000000000000,1,1,1,35,31500.000000000000000,-0.405047837751000
-1,Salem,3,45.133000000000003,-123.004199999999997,20,11,0.550000000000000,44.941017000000002,-123.038677000000007,North America,21.518699999999999,22.738399999999999,0.946400000000000,100.000000000000000,2,2,2,35,31500.000000000000000,-0.542571021829000
-1,Salem,4,45.117449999999998,-122.982399999999998,17,2,0.118000000000000,44.941017000000002,-123.038677000000007,North America,20.110800000000001,22.738399999999999,0.884400000000000,100.000000000000000,3,3,3,36,32400.000000000000000,-0.442612209254000
-1,Salem,5,45.100700000000003,-122.975600000000000,20,3,0.150000000000000,44.941017000000002,-123.038677000000007,North America,18.435099999999998,22.738399999999999,0.810700000000000,100.000000000000000,4,4,4,35,31500.000000000000000,-0.434391411713000
-1,Salem,6,45.099400000000003,-122.977500000000006,20,3,0.150000000000000,44.941017000000002,-123.038677000000007,North America,18.256000000000000,22.738399999999999,0.802900000000000,100.000000000000000,5,5,5,32,28800.000000000000000,-0.428620167193000
-1,Salem,7,45.092239999999997,-122.979110000000006,20,4,0.200000000000000,44.941017000000002,-123.038677000000007,North America,17.454899999999999,22.738399999999999,0.767600000000000,100.000000000000000,6,6,6,36,32400.000000000000000,-0.447384973367000
-1,Salem,8,45.091999999999999,-122.997900000000001,20,17,0.850000000000000,44.941017000000002,-123.038677000000007,North America,17.091799999999999,22.738399999999999,0.751700000000000,100.000000000000000,7,7,7,36,32400.000000000000000,-0.524366796017000
-1,Salem,9,45.080359999999999,-122.976349999999996,20,1,0.050000000000000,44.941017000000002,-123.038677000000007,North America,16.250499999999999,22.738399999999999,0.714700000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-0.518674734235000
-1,Salem,10,45.074280000000002,-122.977450000000005,20,9,0.450000000000000,44.941017000000002,-123.038677000000007,North America,15.580299999999999,22.738399999999999,0.685200000000000,100.000000000000000,9,9,9,35,31500.000000000000000,-0.460998315258000
