OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,st_thomas_019030_20170106_NDSI_pcs_OID,st_thomas_019030_20170106_NDSI_pcs_FID_,st_thomas_019030_20170106_NDSI_pcs_COUNT,st_thomas_019030_20170106_NDSI_pcs_AREA,st_thomas_019030_20170106_NDSI_pcs_MEAN
-1,Saint_Thomas,1,42.779162999999997,-81.182883000000004,NA,NA,0.238095238000000,42.778700000000001,-81.165850000000006,North America,1.391098123680000,3.909380995560000,0.355800000000000,100.000000000000000,0,0,0,37,33300.000000000000000,0.501409896322000
-1,Saint_Thomas,2,42.779181999999999,-81.179787000000005,NA,NA,0.142857143000000,42.778700000000001,-81.165850000000006,North America,1.138727473330000,3.909380995560000,0.291300000000000,100.000000000000000,1,1,1,35,31500.000000000000000,0.467150325435000
-1,Saint_Thomas,3,42.779474000000000,-81.177324999999996,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.940473911338000,3.909380995560000,0.240600000000000,100.000000000000000,2,2,2,36,32400.000000000000000,0.420840322092000
-1,Saint_Thomas,4,42.782459000000003,-81.174817000000004,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,0.842775209831000,3.909380995560000,0.215600000000000,100.000000000000000,3,3,3,37,33300.000000000000000,0.481322752261000
-1,Saint_Thomas,5,42.779040999999999,-81.172141999999994,NA,NA,0.523809524000000,42.778700000000001,-81.165850000000006,North America,0.514918891470000,3.909380995560000,0.131700000000000,100.000000000000000,4,4,4,34,30600.000000000000000,0.351908505456000
-1,Saint_Thomas,6,42.779350999999998,-81.169827999999995,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.332635273392000,3.909380995560000,0.085100000000000,100.000000000000000,5,5,5,32,28800.000000000000000,0.503348066937000
-1,Saint_Thomas,7,42.778610000000000,-81.166944000000001,NA,NA,0.368421053000000,42.778700000000001,-81.165850000000006,North America,0.089846091821900,3.909380995560000,0.023000000000000,100.000000000000000,6,6,6,35,31500.000000000000000,0.494059189755000
-1,Saint_Thomas,8,42.779719999999998,-81.164720000000003,NA,NA,0.333333333000000,42.778700000000001,-81.165850000000006,North America,0.146181927804000,3.909380995560000,0.037400000000000,100.000000000000000,7,7,7,36,32400.000000000000000,0.655185392333000
-1,Saint_Thomas,9,42.779167000000001,-81.162222000000000,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,0.300617469629000,3.909380995560000,0.076900000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.511146059207000
-1,Saint_Thomas,10,42.779834999999999,-81.159322000000003,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.547522663621000,3.909380995560000,0.140100000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.521942945889000
-1,Saint_Thomas,11,42.779592000000001,-81.157623000000001,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,0.678729107669000,3.909380995560000,0.173600000000000,100.000000000000000,10,10,10,27,24300.000000000000000,0.544400087109000
-1,Saint_Thomas,12,42.778249000000002,-81.155120999999994,NA,NA,0.428571429000000,42.778700000000001,-81.165850000000006,North America,0.877086649005000,3.909380995560000,0.224400000000000,100.000000000000000,11,11,11,34,30600.000000000000000,0.553601582261000
-1,Saint_Thomas,13,42.778225999999997,-81.152212000000006,NA,NA,0.047619048000000,42.778700000000001,-81.165850000000006,North America,1.114318436770000,3.909380995560000,0.285000000000000,100.000000000000000,12,12,12,34,30600.000000000000000,0.519773932229000
-1,Saint_Thomas,14,42.777548000000003,-81.149981999999994,NA,NA,0.523809524000000,42.778700000000001,-81.165850000000006,North America,1.301400356790000,3.909380995560000,0.332900000000000,100.000000000000000,13,13,13,36,32400.000000000000000,0.559001562289000
-1,Saint_Thomas,15,42.778129999999997,-81.147361000000004,NA,NA,0.150000000000000,42.778700000000001,-81.165850000000006,North America,1.510319370830000,3.909380995560000,0.386300000000000,100.000000000000000,14,14,14,37,33300.000000000000000,0.578837107968000
-1,Saint_Thomas,16,42.777929999999998,-81.145178999999999,NA,NA,0.714285714000000,42.778700000000001,-81.165850000000006,North America,1.689247848830000,3.909380995560000,0.432100000000000,100.000000000000000,15,15,15,33,29700.000000000000000,0.597562603878000
-1,Saint_Thomas,17,42.778460000000003,-81.141518000000005,NA,NA,0.294117647000000,42.778700000000001,-81.165850000000006,North America,1.986042224620000,3.909380995560000,0.508000000000000,100.000000000000000,16,16,16,35,31500.000000000000000,0.647071806022000
-1,Saint_Thomas,18,42.778430000000000,-81.139536000000007,NA,NA,0.157894737000000,42.778700000000001,-81.165850000000006,North America,2.147834756860000,3.909380995560000,0.549400000000000,100.000000000000000,17,17,17,32,28800.000000000000000,0.648587726057000
-1,Saint_Thomas,19,42.777920000000002,-81.137083000000004,NA,NA,0.350000000000000,42.778700000000001,-81.165850000000006,North America,2.349438355840000,3.909380995560000,0.601000000000000,100.000000000000000,18,18,18,37,33300.000000000000000,0.574175228138000
-1,Saint_Thomas,20,42.777833999999999,-81.134857999999994,NA,NA,0.684210526000000,42.778700000000001,-81.165850000000006,North America,2.531265738300000,3.909380995560000,0.647500000000000,100.000000000000000,19,19,19,32,28800.000000000000000,0.612440843135000
-1,Saint_Thomas,21,42.777728000000003,-81.132665000000003,NA,NA,0.238095238000000,42.778700000000001,-81.165850000000006,North America,2.710574644530000,3.909380995560000,0.693400000000000,100.000000000000000,20,20,20,32,28800.000000000000000,0.603464316577000
-1,Saint_Thomas,22,42.777546000000001,-81.130120000000005,NA,NA,0.285714286000000,42.778700000000001,-81.165850000000006,North America,2.918957205600000,3.909380995560000,0.746700000000000,100.000000000000000,21,21,21,36,32400.000000000000000,0.620574901501000
-1,Saint_Thomas,23,42.777392999999996,-81.126599999999996,NA,NA,0.476190476000000,42.778700000000001,-81.165850000000006,North America,3.206722184420000,3.909380995560000,0.820300000000000,100.000000000000000,22,22,22,36,32400.000000000000000,0.598788787921000
