OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,christchurch_074090_20160715_NDSI_pcs_OID,christchurch_074090_20160715_NDSI_pcs_FID_,christchurch_074090_20160715_NDSI_pcs_COUNT,christchurch_074090_20160715_NDSI_pcs_AREA,christchurch_074090_20160715_NDSI_pcs_MEAN
-1,Christchurch,1,-43.539760000000001,172.625599999999991,13,5,0.385000000000000,-43.532055000000000,172.636230000000012,Oceania,1.211700000000000,27.723900000000000,0.043700000000000,100.000000000000000,0,0,0,32,28800.000000000000000,-0.206542677013000
-1,Christchurch,2,-43.537190000000002,172.627659999999992,20,10,0.500000000000000,-43.532055000000000,172.636230000000012,Oceania,0.896300000000000,27.723900000000000,0.032300000000000,100.000000000000000,1,1,1,36,32400.000000000000000,-0.092831910595900
-1,Christchurch,3,-43.534030000000001,172.627640000000014,19,15,0.789000000000000,-43.532055000000000,172.636230000000012,Oceania,0.726500000000000,27.723900000000000,0.026200000000000,100.000000000000000,2,2,2,32,28800.000000000000000,-0.290185110061000
-1,Christchurch,4,-43.531970000000001,172.627430000000004,20,6,0.300000000000000,-43.532055000000000,172.636230000000012,Oceania,0.709500000000000,27.723900000000000,0.025600000000000,100.000000000000000,3,3,3,37,33300.000000000000000,-0.267499782894000
-1,Christchurch,5,-43.528849999999998,172.627849999999995,20,16,0.800000000000000,-43.532055000000000,172.636230000000012,Oceania,0.763800000000000,27.723900000000000,0.027600000000000,100.000000000000000,4,4,4,32,28800.000000000000000,-0.365557493526000
-1,Christchurch,6,-43.525919999999999,172.628099999999989,20,4,0.200000000000000,-43.532055000000000,172.636230000000012,Oceania,0.946000000000000,27.723900000000000,0.034100000000000,100.000000000000000,5,5,5,35,31500.000000000000000,-0.367068443554000
-1,Christchurch,7,-43.522500000000001,172.626569999999987,20,10,0.500000000000000,-43.532055000000000,172.636230000000012,Oceania,1.317300000000000,27.723900000000000,0.047500000000000,100.000000000000000,6,6,6,35,31500.000000000000000,-0.373463192582000
-1,Christchurch,8,-43.519599999999997,172.626659999999987,8,2,0.250000000000000,-43.532055000000000,172.636230000000012,Oceania,1.585400000000000,27.723900000000000,0.057200000000000,100.000000000000000,7,7,7,36,32400.000000000000000,-0.173436594765000
-1,Christchurch,9,-43.517060000000001,172.625470000000007,20,14,0.700000000000000,-43.532055000000000,172.636230000000012,Oceania,1.879600000000000,27.723900000000000,0.067800000000000,100.000000000000000,8,8,8,35,31500.000000000000000,-0.202979624032000
-1,Christchurch,10,-43.515360000000001,172.621289999999988,20,6,0.300000000000000,-43.532055000000000,172.636230000000012,Oceania,2.213000000000000,27.723900000000000,0.079800000000000,100.000000000000000,9,9,9,35,31500.000000000000000,-0.365782852684000
-1,Christchurch,11,-43.513100000000001,172.619570000000010,20,4,0.200000000000000,-43.532055000000000,172.636230000000012,Oceania,2.499300000000000,27.723900000000000,0.090100000000000,100.000000000000000,10,10,10,36,32400.000000000000000,-0.240877421521000
-1,Christchurch,12,-43.510030000000000,172.617680000000007,20,4,0.200000000000000,-43.532055000000000,172.636230000000012,Oceania,2.869700000000000,27.723900000000000,0.103500000000000,100.000000000000000,11,11,11,36,32400.000000000000000,-0.269521584527000
-1,Christchurch,13,-43.506010000000003,172.615749999999991,20,12,0.600000000000000,-43.532055000000000,172.636230000000012,Oceania,3.333800000000000,27.723900000000000,0.120300000000000,100.000000000000000,12,12,12,35,31500.000000000000000,-0.347922317045000
-1,Christchurch,14,-43.503300000000003,172.610350000000011,20,12,0.600000000000000,-43.532055000000000,172.636230000000012,Oceania,3.818100000000000,27.723900000000000,0.137700000000000,100.000000000000000,13,13,13,37,33300.000000000000000,-0.309740122508000
-1,Christchurch,15,-43.499470000000002,172.610019999999992,16,6,0.375000000000000,-43.532055000000000,172.636230000000012,Oceania,4.194600000000000,27.723900000000000,0.151300000000000,100.000000000000000,14,14,14,33,29700.000000000000000,-0.221124836074000
-1,Christchurch,16,-43.496890000000000,172.605940000000004,19,12,0.632000000000000,-43.532055000000000,172.636230000000012,Oceania,4.610400000000000,27.723900000000000,0.166300000000000,100.000000000000000,15,15,15,35,31500.000000000000000,-0.417568074380000
