OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,cobourg_017029_20170108_NDSI_pcs_OID,cobourg_017029_20170108_NDSI_pcs_FID_,cobourg_017029_20170108_NDSI_pcs_COUNT,cobourg_017029_20170108_NDSI_pcs_AREA,cobourg_017029_20170108_NDSI_pcs_MEAN
-1,Cobourg,1,43.958990000000000,-78.164090999999999,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,0.148563851549000,6.321471327270000,0.023500000000000,100.000000000000000,0,0,0,35,31500.000000000000000,0.561494404078000
-1,Cobourg,2,43.959794000000002,-78.162046000000004,NA,NA,0.250000000000000,43.959899999999998,-78.165450000000007,North America,0.272714556172000,6.321471327270000,0.043100000000000,100.000000000000000,1,1,1,34,30600.000000000000000,0.612996297724000
-1,Cobourg,3,43.960808999999998,-78.159431999999995,NA,NA,0.750000000000000,43.959899999999998,-78.165450000000007,North America,0.492173573102000,6.321471327270000,0.077900000000000,100.000000000000000,2,2,2,36,32400.000000000000000,0.454762627060000
-1,Cobourg,4,43.961004000000003,-78.157285000000002,NA,NA,0.350000000000000,43.959899999999998,-78.165450000000007,North America,0.664958139827000,6.321471327270000,0.105200000000000,100.000000000000000,3,3,3,32,28800.000000000000000,0.538815527223000
-1,Cobourg,5,43.962499999999999,-78.155902999999995,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,0.816997099645000,6.321471327270000,0.129200000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.377632051547000
-1,Cobourg,6,43.962896000000001,-78.152984000000004,NA,NA,0.200000000000000,43.959899999999998,-78.165450000000007,North America,1.051911865500000,6.321471327270000,0.166400000000000,100.000000000000000,5,5,5,34,30600.000000000000000,0.594910826753000
-1,Cobourg,7,43.963482999999997,-78.150486999999998,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,1.262148246420000,6.321471327270000,0.199700000000000,100.000000000000000,6,6,6,36,32400.000000000000000,0.539122407842000
-1,Cobourg,8,43.964027000000002,-78.148149000000004,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,1.458800108470000,6.321471327270000,0.230800000000000,100.000000000000000,7,7,7,35,31500.000000000000000,0.619994078364000
-1,Cobourg,9,43.964506000000000,-78.146426000000005,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,1.606470023830000,6.321471327270000,0.254100000000000,100.000000000000000,8,8,8,28,25200.000000000000000,0.529334962767000
-1,Cobourg,10,43.964964999999999,-78.143603999999996,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,1.836967972430000,6.321471327270000,0.290600000000000,100.000000000000000,9,9,9,35,31500.000000000000000,0.489079704668000
-1,Cobourg,11,43.965513999999999,-78.141013999999998,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,2.052996875800000,6.321471327270000,0.324800000000000,100.000000000000000,10,10,10,35,31500.000000000000000,0.596295623268000
-1,Cobourg,12,43.966107999999998,-78.138603000000003,NA,NA,0.250000000000000,43.959899999999998,-78.165450000000007,North America,2.256906889510000,6.321471327270000,0.357000000000000,100.000000000000000,11,11,11,37,33300.000000000000000,0.470670034152000
-1,Cobourg,13,43.966028999999999,-78.135998999999998,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,2.453709182050000,6.321471327270000,0.388200000000000,100.000000000000000,12,12,12,37,33300.000000000000000,0.586069261706000
-1,Cobourg,14,43.965940000000003,-78.133663999999996,NA,NA,0.150000000000000,43.959899999999998,-78.165450000000007,North America,2.631211947620000,6.321471327270000,0.416200000000000,100.000000000000000,13,13,13,35,31500.000000000000000,0.504572084972000
-1,Cobourg,15,43.967398000000003,-78.132893999999993,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,2.735787172940000,6.321471327270000,0.432800000000000,100.000000000000000,14,14,14,33,29700.000000000000000,0.446893450494000
-1,Cobourg,16,43.969417999999997,-78.128614999999996,NA,NA,0.100000000000000,43.959899999999998,-78.165450000000007,North America,3.132291053010000,6.321471327270000,0.495500000000000,100.000000000000000,15,15,15,35,31500.000000000000000,0.629152043802000
-1,Cobourg,17,43.969839999999998,-78.126669000000007,NA,NA,0.315789474000000,43.959899999999998,-78.165450000000007,North America,3.294733892620000,6.321471327270000,0.521200000000000,100.000000000000000,16,16,16,33,29700.000000000000000,0.628240410126000
-1,Cobourg,18,43.971496999999999,-78.123745000000000,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,3.578222646740000,6.321471327270000,0.566000000000000,100.000000000000000,17,17,17,36,32400.000000000000000,0.633656509221000
-1,Cobourg,19,43.971010999999997,-78.119860000000003,NA,NA,0.050000000000000,43.959899999999998,-78.165450000000007,North America,3.852224728350000,6.321471327270000,0.609400000000000,100.000000000000000,18,18,18,35,31500.000000000000000,0.688775730133000
-1,Cobourg,20,43.972002000000003,-78.116866000000002,NA,NA,0.250000000000000,43.959899999999998,-78.165450000000007,North America,4.114589701650000,6.321471327270000,0.650900000000000,100.000000000000000,19,19,19,36,32400.000000000000000,0.692631570829000
-1,Cobourg,21,43.971240999999999,-78.111309000000006,NA,NA,0.200000000000000,43.959899999999998,-78.165450000000007,North America,4.512859470090000,6.321471327270000,0.713900000000000,100.000000000000000,20,20,20,32,28800.000000000000000,0.566866536275000
-1,Cobourg,22,43.972653999999999,-78.106264999999993,NA,NA,0.300000000000000,43.959899999999998,-78.165450000000007,North America,4.944463468310000,6.321471327270000,0.782200000000000,100.000000000000000,21,21,21,37,33300.000000000000000,0.460978167484000
-1,Cobourg,23,43.974387999999998,-78.103848999999997,NA,NA,0.350000000000000,43.959899999999998,-78.165450000000007,North America,5.186542567140000,6.321471327270000,0.820500000000000,100.000000000000000,22,22,22,37,33300.000000000000000,0.256730825414000
-1,Cobourg,24,43.974972000000001,-78.100131000000005,NA,NA,0.450000000000000,43.959899999999998,-78.165450000000007,North America,5.489612423820000,6.321471327270000,0.868400000000000,100.000000000000000,23,23,23,35,31500.000000000000000,0.581772733586000
-1,Cobourg,25,43.974955999999999,-78.096553999999998,NA,NA,0.333333333000000,43.959899999999998,-78.165450000000007,North America,5.762362144540000,6.321471327270000,0.911600000000000,100.000000000000000,24,24,24,32,28800.000000000000000,0.549089135136000
-1,Cobourg,26,43.977862999999999,-78.093237000000002,NA,NA,0.200000000000000,43.959899999999998,-78.165450000000007,North America,6.114562146200000,6.321471327270000,0.967300000000000,100.000000000000000,25,25,25,35,31500.000000000000000,0.565651479363000
-1,Cobourg,27,43.977169000000004,-78.090192999999999,NA,NA,0.000000000000000,43.959899999999998,-78.165450000000007,North America,6.321471327270000,6.321471327270000,1.000000000000000,100.000000000000000,26,26,26,36,32400.000000000000000,0.631878510945000
