OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,BUFF_DIST,ORIG_FID,sioux_falls_029030_20170112_NDSI_pcs_OID,sioux_falls_029030_20170112_NDSI_pcs_FID_,sioux_falls_029030_20170112_NDSI_pcs_COUNT,sioux_falls_029030_20170112_NDSI_pcs_AREA,sioux_falls_029030_20170112_NDSI_pcs_MEAN
-1,Sioux_Falls,1,43.533000000000001,-96.736161100000004,15,2,0.133000000000000,43.546025999999998,-96.728260000000006,USA,North America,1.582300000000000,14.318700000000000,0.110500000000000,100.000000000000000,0,0,0,37,33300.000000000000000,0.417068671939000
-1,Sioux_Falls,2,43.533233299999999,-96.739930599999994,15,2,0.133000000000000,43.546025999999998,-96.728260000000006,USA,North America,1.705400000000000,14.318700000000000,0.119100000000000,100.000000000000000,1,1,1,36,32400.000000000000000,0.373251790543000
-1,Sioux_Falls,3,43.532750000000000,-96.746130600000001,15,2,0.133000000000000,43.546025999999998,-96.728260000000006,USA,North America,2.062600000000000,14.318700000000000,0.144000000000000,100.000000000000000,2,2,2,37,33300.000000000000000,0.493157899309000
-1,Sioux_Falls,4,43.533402799999998,-96.750174999999999,15,5,0.333000000000000,43.546025999999998,-96.728260000000006,USA,North America,2.256200000000000,14.318700000000000,0.157600000000000,100.000000000000000,3,3,3,35,31500.000000000000000,0.495683592558000
-1,Sioux_Falls,5,43.533261099999997,-96.755372199999996,15,4,0.267000000000000,43.546025999999998,-96.728260000000006,USA,North America,2.605900000000000,14.318700000000000,0.182000000000000,100.000000000000000,4,4,4,35,31500.000000000000000,0.475222513505000
-1,Sioux_Falls,6,43.532947200000002,-96.792191700000004,15,14,0.933000000000000,43.546025999999998,-96.728260000000006,USA,North America,5.354500000000000,14.318700000000000,0.374000000000000,100.000000000000000,5,5,5,35,31500.000000000000000,0.545581076401000
-1,Sioux_Falls,7,43.533205600000002,-96.796119399999995,15,1,0.067000000000000,43.546025999999998,-96.728260000000006,USA,North America,5.652500000000000,14.318700000000000,0.394800000000000,100.000000000000000,6,6,6,33,29700.000000000000000,0.594463511850000
-1,Sioux_Falls,8,43.533152800000003,-96.815383299999993,15,2,0.133000000000000,43.546025999999998,-96.728260000000006,USA,North America,7.167000000000000,14.318700000000000,0.500500000000000,100.000000000000000,7,7,7,34,30600.000000000000000,0.446214862168000
-1,Sioux_Falls,9,43.532866700000000,-96.824797200000006,15,0,0.000000000000000,43.546025999999998,-96.728260000000006,USA,North America,7.917800000000000,14.318700000000000,0.553000000000000,100.000000000000000,8,8,8,35,31500.000000000000000,0.495813341652000
-1,Sioux_Falls,10,43.532841699999999,-96.828408300000007,15,1,0.067000000000000,43.546025999999998,-96.728260000000006,USA,North America,8.204499999999999,14.318700000000000,0.573000000000000,100.000000000000000,9,9,9,32,28800.000000000000000,0.405063184851000
-1,Sioux_Falls,11,43.532955600000001,-96.828208300000000,15,1,0.067000000000000,43.546025999999998,-96.728260000000006,USA,North America,8.186400000000001,14.318700000000000,0.571700000000000,100.000000000000000,10,10,10,7,6300.000000000000000,0.479206017085000
-1,Sioux_Falls,12,43.532874999999997,-96.837088899999998,15,2,0.133000000000000,43.546025999999998,-96.728260000000006,USA,North America,8.893200000000000,14.318700000000000,0.621100000000000,100.000000000000000,11,11,11,35,31500.000000000000000,0.338872052277000
-1,Sioux_Falls,13,43.532641699999999,-96.840033300000002,15,2,0.133000000000000,43.546025999999998,-96.728260000000006,USA,North America,9.131600000000001,14.318700000000000,0.637700000000000,100.000000000000000,12,12,12,35,31500.000000000000000,0.594053898539000
