OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,kunming_129043_DEM_pcs_OID,kunming_129043_DEM_pcs_FID_,kunming_129043_DEM_pcs_COUNT,kunming_129043_DEM_pcs_AREA,kunming_129043_DEM_pcs_MEAN
-1,Kunming,1,25.056819999999998,102.700969999999998,16,1,0.062000000000000,25.037281000000000,102.716949000000000,Asia,2.704000000000000,21.446600000000000,0.126100000000000,0,0,1,892.504817802000048,1915.000000000000000
-1,Kunming,2,25.062930000000001,102.699939999999998,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,3.327100000000000,21.446600000000000,0.155100000000000,1,1,1,892.504817802000048,1899.000000000000000
-1,Kunming,3,25.070740000000001,102.704310000000007,16,5,0.312000000000000,25.037281000000000,102.716949000000000,Asia,3.932300000000000,21.446600000000000,0.183400000000000,2,2,1,892.504817802000048,1899.000000000000000
-1,Kunming,4,25.066530000000000,102.704229999999995,16,6,0.375000000000000,25.037281000000000,102.716949000000000,Asia,3.495600000000000,21.446600000000000,0.163000000000000,3,3,1,892.504817802000048,1895.000000000000000
-1,Kunming,5,25.073760000000000,102.709040000000002,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,4.133800000000000,21.446600000000000,0.192700000000000,4,4,1,892.504817802000048,1896.000000000000000
-1,Kunming,6,25.075089999999999,102.712490000000003,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,4.228100000000000,21.446600000000000,0.197100000000000,5,5,1,892.504817802000048,1898.000000000000000
-1,Kunming,7,25.079760000000000,102.714609999999993,16,16,1.000000000000000,25.037281000000000,102.716949000000000,Asia,4.729300000000000,21.446600000000000,0.220500000000000,6,6,1,892.504817802000048,1898.000000000000000
-1,Kunming,8,25.081170000000000,102.717209999999994,16,5,0.312000000000000,25.037281000000000,102.716949000000000,Asia,4.880300000000000,21.446600000000000,0.227600000000000,7,7,1,892.504817802000048,1893.000000000000000
-1,Kunming,9,25.083700000000000,102.721480000000000,16,7,0.438000000000000,25.037281000000000,102.716949000000000,Asia,5.181700000000000,21.446600000000000,0.241600000000000,8,8,1,892.504817802000048,1896.000000000000000
-1,Kunming,10,25.085590000000000,102.722650000000002,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,5.402300000000000,21.446600000000000,0.251900000000000,9,9,1,892.504817802000048,1904.000000000000000
-1,Kunming,11,25.087940000000000,102.723349999999996,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,5.669800000000000,21.446600000000000,0.264400000000000,10,10,1,892.504817802000048,1892.000000000000000
-1,Kunming,12,25.091529999999999,102.725549999999998,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,6.094100000000000,21.446600000000000,0.284200000000000,11,11,1,892.504817802000048,1892.000000000000000
-1,Kunming,13,25.094169999999998,102.726129999999998,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,6.393000000000000,21.446600000000000,0.298100000000000,12,12,1,892.504817802000048,1893.000000000000000
-1,Kunming,14,25.095970000000001,102.727279999999993,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,6.608400000000000,21.446600000000000,0.308100000000000,13,13,1,892.504817802000048,1897.000000000000000
-1,Kunming,15,25.096180000000000,102.729680000000002,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,6.673600000000000,21.446600000000000,0.311200000000000,14,14,1,892.504817802000048,1898.000000000000000
-1,Kunming,16,25.096950000000000,102.734660000000005,16,4,0.250000000000000,25.037281000000000,102.716949000000000,Asia,6.870500000000000,21.446600000000000,0.320400000000000,15,15,1,892.504817802000048,1898.000000000000000
-1,Kunming,17,25.098400000000002,102.736480000000000,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,7.075100000000000,21.446600000000000,0.329900000000000,16,16,1,892.504817802000048,1897.000000000000000
-1,Kunming,18,25.101130000000001,102.737520000000004,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,7.395800000000000,21.446600000000000,0.344800000000000,17,17,1,892.504817802000048,1900.000000000000000
-1,Kunming,19,25.104170000000000,102.738470000000007,16,13,0.812000000000000,25.037281000000000,102.716949000000000,Asia,7.747100000000000,21.446600000000000,0.361200000000000,18,18,1,892.504817802000048,1896.000000000000000
-1,Kunming,20,25.108100000000000,102.738829999999993,16,10,0.625000000000000,25.037281000000000,102.716949000000000,Asia,8.177300000000001,21.446600000000000,0.381300000000000,19,19,1,892.504817802000048,1898.000000000000000
-1,Kunming,21,25.111550000000001,102.739199999999997,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,8.557000000000000,21.446600000000000,0.399000000000000,20,20,1,892.504817802000048,1902.000000000000000
-1,Kunming,22,25.117319999999999,102.740080000000006,16,3,0.188000000000000,25.037281000000000,102.716949000000000,Asia,9.199800000000000,21.446600000000000,0.429000000000000,21,21,1,892.504817802000048,1899.000000000000000
-1,Kunming,23,25.124700000000001,102.742350000000002,16,13,0.812000000000000,25.037281000000000,102.716949000000000,Asia,10.051500000000001,21.446600000000000,0.468700000000000,22,22,1,892.504817802000048,1901.000000000000000
-1,Kunming,24,25.129860000000001,102.744399999999999,16,9,0.562000000000000,25.037281000000000,102.716949000000000,Asia,10.659100000000000,21.446600000000000,0.497000000000000,23,23,1,892.504817802000048,1911.000000000000000
-1,Kunming,25,25.138490000000001,102.743080000000006,16,1,0.062000000000000,25.037281000000000,102.716949000000000,Asia,11.557499999999999,21.446600000000000,0.538900000000000,24,24,1,892.504817802000048,1931.000000000000000
-1,Kunming,26,25.147690000000001,102.742769999999993,16,10,0.625000000000000,25.037281000000000,102.716949000000000,Asia,12.549300000000001,21.446600000000000,0.585100000000000,25,25,1,892.504817802000048,1944.000000000000000
-1,Kunming,27,25.153060000000000,102.736779999999996,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,13.028000000000000,21.446600000000000,0.607500000000000,26,26,1,892.504817802000048,1945.000000000000000
-1,Kunming,28,25.158100000000001,102.738360000000000,16,8,0.500000000000000,25.037281000000000,102.716949000000000,Asia,13.606400000000001,21.446600000000000,0.634400000000000,27,27,1,892.504817802000048,1958.000000000000000
-1,Kunming,29,25.162920000000000,102.737409999999997,16,15,0.938000000000000,25.037281000000000,102.716949000000000,Asia,14.121499999999999,21.446600000000000,0.658400000000000,28,28,1,892.504817802000048,1988.000000000000000
-1,Kunming,30,25.161619999999999,102.733890000000002,16,11,0.688000000000000,25.037281000000000,102.716949000000000,Asia,13.930700000000000,21.446600000000000,0.649600000000000,29,29,1,892.504817802000048,2068.000000000000000
-1,Kunming,31,25.164719999999999,102.731930000000006,16,14,0.875000000000000,25.037281000000000,102.716949000000000,Asia,14.250600000000000,21.446600000000000,0.664500000000000,30,30,1,892.504817802000048,2117.000000000000000
