OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,continent,distance,max_dist,std_distan,manchester_203023_DEM_pcs_OID,manchester_203023_DEM_pcs_FID_,manchester_203023_DEM_pcs_COUNT,manchester_203023_DEM_pcs_AREA,manchester_203023_DEM_pcs_MEAN
-1,Manchester,1,53.476500000000001,-2.235900000000000,18,0,0.000000000000000,53.480758999999999,-2.242631000000000,Europe,0.650100000000000,33.088000000000001,0.019600000000000,0,0,1,2313.917030569999952,50.000000000000000
-1,Manchester,2,53.473100000000002,-2.234000000000000,20,7,0.350000000000000,53.480758999999999,-2.242631000000000,Europe,1.025400000000000,33.088000000000001,0.031000000000000,1,1,1,2313.917030569999952,43.000000000000000
-1,Manchester,3,53.466200000000001,-2.247200000000000,20,3,0.150000000000000,53.480758999999999,-2.242631000000000,Europe,1.646900000000000,33.088000000000001,0.049800000000000,2,2,1,2313.917030569999952,35.000000000000000
-1,Manchester,4,53.458300000000001,-2.244100000000000,19,14,0.737000000000000,53.480758999999999,-2.242631000000000,Europe,2.499200000000000,33.088000000000001,0.075500000000000,3,3,1,2313.917030569999952,35.000000000000000
-1,Manchester,5,53.454599999999999,-2.246200000000000,19,8,0.421000000000000,53.480758999999999,-2.242631000000000,Europe,2.918300000000000,33.088000000000001,0.088200000000000,4,4,1,2313.917030569999952,34.000000000000000
-1,Manchester,6,53.450000000000003,-2.246300000000000,20,0,0.000000000000000,53.480758999999999,-2.242631000000000,Europe,3.428900000000000,33.088000000000001,0.103600000000000,5,5,1,2313.917030569999952,34.000000000000000
-1,Manchester,7,53.446500000000000,-2.244300000000000,18,9,0.500000000000000,53.480758999999999,-2.242631000000000,Europe,3.811000000000000,33.088000000000001,0.115200000000000,6,6,1,2313.917030569999952,34.000000000000000
-1,Manchester,8,53.439799999999998,-2.246000000000000,19,2,0.105000000000000,53.480758999999999,-2.242631000000000,Europe,4.559900000000000,33.088000000000001,0.137800000000000,7,7,1,2313.917030569999952,33.000000000000000
-1,Manchester,9,53.430399999999999,-2.255600000000000,20,7,0.350000000000000,53.480758999999999,-2.242631000000000,Europe,5.665100000000000,33.088000000000001,0.171200000000000,8,8,1,2313.917030569999952,37.000000000000000
-1,Manchester,10,53.425699999999999,-2.254900000000000,20,6,0.300000000000000,53.480758999999999,-2.242631000000000,Europe,6.175900000000000,33.088000000000001,0.186700000000000,9,9,1,2313.917030569999952,34.000000000000000
-1,Manchester,12,53.415300000000002,-2.251000000000000,15,7,0.467000000000000,53.480758999999999,-2.242631000000000,Europe,7.299800000000000,33.088000000000001,0.220600000000000,10,11,1,2313.917030569999952,33.000000000000000
-1,Manchester,13,53.410299999999999,-2.254200000000000,20,15,0.750000000000000,53.480758999999999,-2.242631000000000,Europe,7.872100000000000,33.088000000000001,0.237900000000000,11,12,1,2313.917030569999952,34.000000000000000
-1,Manchester,14,53.402999999999999,-2.249300000000000,20,6,0.300000000000000,53.480758999999999,-2.242631000000000,Europe,8.657700000000000,33.088000000000001,0.261700000000000,12,13,1,2313.917030569999952,48.000000000000000
-1,Manchester,15,53.390099999999997,-2.248900000000000,19,14,0.737000000000000,53.480758999999999,-2.242631000000000,Europe,10.089399999999999,33.088000000000001,0.304900000000000,13,14,1,2313.917030569999952,50.000000000000000
-1,Manchester,16,53.392099999999999,-2.237500000000000,20,0,0.000000000000000,53.480758999999999,-2.242631000000000,Europe,9.864300000000000,33.088000000000001,0.298100000000000,14,15,1,2313.917030569999952,45.000000000000000
-1,Manchester,17,53.386299999999999,-2.233800000000000,18,5,0.278000000000000,53.480758999999999,-2.242631000000000,Europe,10.519600000000001,33.088000000000001,0.317900000000000,15,16,1,2313.917030569999952,53.000000000000000
-1,Manchester,18,53.377200000000002,-2.247000000000000,20,5,0.250000000000000,53.480758999999999,-2.242631000000000,Europe,11.518900000000000,33.088000000000001,0.348100000000000,16,17,1,2313.917030569999952,66.000000000000000
-1,Manchester,19,53.371400000000001,-2.241500000000000,18,4,0.222000000000000,53.480758999999999,-2.242631000000000,Europe,12.160399999999999,33.088000000000001,0.367500000000000,17,18,1,2313.917030569999952,69.000000000000000
-1,Manchester,20,53.366900000000001,-2.231500000000000,20,1,0.050000000000000,53.480758999999999,-2.242631000000000,Europe,12.682000000000000,33.088000000000001,0.383300000000000,18,19,1,2313.917030569999952,72.000000000000000
-1,Manchester,21,53.358300000000000,-2.244500000000000,20,7,0.350000000000000,53.480758999999999,-2.242631000000000,Europe,13.617400000000000,33.088000000000001,0.411600000000000,19,20,1,2313.917030569999952,83.000000000000000
-1,Manchester,22,53.347799999999999,-2.241900000000000,18,5,0.278000000000000,53.480758999999999,-2.242631000000000,Europe,14.784400000000000,33.088000000000001,0.446800000000000,20,21,1,2313.917030569999952,85.000000000000000
-1,Manchester,23,53.342399999999998,-2.240300000000000,20,2,0.100000000000000,53.480758999999999,-2.242631000000000,Europe,15.385600000000000,33.088000000000001,0.465000000000000,21,22,1,2313.917030569999952,83.000000000000000
-1,Manchester,24,53.336199999999998,-2.256700000000000,20,12,0.600000000000000,53.480758999999999,-2.242631000000000,Europe,16.101299999999998,33.088000000000001,0.486600000000000,22,23,1,2313.917030569999952,78.000000000000000
-1,Manchester,25,53.329700000000003,-2.251200000000000,20,7,0.350000000000000,53.480758999999999,-2.242631000000000,Europe,16.806600000000000,33.088000000000001,0.507900000000000,23,24,1,2313.917030569999952,86.000000000000000
-1,Manchester,26,53.309500000000000,-2.258900000000000,20,2,0.100000000000000,53.480758999999999,-2.242631000000000,Europe,19.073699999999999,33.088000000000001,0.576500000000000,24,25,1,2313.917030569999952,71.000000000000000
-1,Manchester,27,53.300699999999999,-2.244600000000000,19,4,0.211000000000000,53.480758999999999,-2.242631000000000,Europe,20.022099999999998,33.088000000000001,0.605100000000000,25,26,1,2313.917030569999952,79.000000000000000
-1,Manchester,28,53.295499999999997,-2.263600000000000,18,12,0.667000000000000,53.480758999999999,-2.242631000000000,Europe,20.646699999999999,33.088000000000001,0.624000000000000,26,27,1,2313.917030569999952,81.000000000000000
-1,Manchester,29,53.287399999999998,-2.264400000000000,20,9,0.450000000000000,53.480758999999999,-2.242631000000000,Europe,21.548999999999999,33.088000000000001,0.651300000000000,27,28,1,2313.917030569999952,78.000000000000000
-1,Manchester,30,53.268599999999999,-2.269200000000000,20,14,0.700000000000000,53.480758999999999,-2.242631000000000,Europe,23.656800000000000,33.088000000000001,0.715000000000000,28,29,1,2313.917030569999952,78.000000000000000
