OID,city,population,populati_1,populati_2,total_plan,numCyanoge,freqHCN,latitude_c,longitude_,Country,continent,distance,max_dist,std_distan,cape_town_175084_DEM_pcs_OID,cape_town_175084_DEM_pcs_FID_,cape_town_175084_DEM_pcs_COUNT,cape_town_175084_DEM_pcs_AREA,cape_town_175084_DEM_pcs_MEAN
-1,Cape_Town,2,-33.981810000000003,18.435510000000001,17,17,1.000000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,6.419000000000000,39.661099999999998,0.161800000000000,0,1,1,834.578870148999954,149.000000000000000
-1,Cape_Town,3,-33.989240000000002,18.487079999999999,18,12,0.667000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,9.220700000000001,39.661099999999998,0.232500000000000,1,2,1,834.578870148999954,22.000000000000000
-1,Cape_Town,4,-33.948830000000001,18.477930000000001,18,13,0.722000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,5.639200000000000,39.661099999999998,0.142200000000000,2,3,1,834.578870148999954,10.000000000000000
-1,Cape_Town,7,-33.962519999999998,18.743490000000001,16,11,0.688000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,29.762400000000000,39.661099999999998,0.750400000000000,3,6,1,834.578870148999954,133.000000000000000
-1,Cape_Town,8,-33.946930000000002,18.719570000000001,11,8,0.727000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,27.372599999999998,39.661099999999998,0.690200000000000,4,7,1,834.578870148999954,136.000000000000000
-1,Cape_Town,9,-33.970700000000001,18.524210000000000,16,11,0.688000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,10.550800000000001,39.661099999999998,0.266000000000000,5,8,1,834.578870148999954,12.000000000000000
-1,Cape_Town,11,-33.978200000000001,18.483120000000000,18,4,0.222000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,8.052700000000000,39.661099999999998,0.203000000000000,6,10,1,834.578870148999954,28.000000000000000
-1,Cape_Town,12,-33.933860000000003,18.411940000000001,18,10,0.556000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,1.499500000000000,39.661099999999998,0.037800000000000,7,11,1,834.578870148999954,56.000000000000000
-1,Cape_Town,13,-33.929620000000000,18.415839999999999,16,7,0.438000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,0.923800000000000,39.661099999999998,0.023300000000000,8,12,1,834.578870148999954,30.000000000000000
-1,Cape_Town,14,-33.935720000000003,18.450759999999999,17,17,1.000000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,2.743300000000000,39.661099999999998,0.069200000000000,9,13,1,834.578870148999954,63.000000000000000
-1,Cape_Town,18,-33.878100000000003,18.761900000000001,18,17,0.944000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,31.611000000000001,39.661099999999998,0.797000000000000,10,17,1,834.578870148999954,110.000000000000000
-1,Cape_Town,19,-33.864699999999999,18.847600000000000,17,16,0.941000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,39.661099999999998,39.661099999999998,1.000000000000000,11,18,1,834.578870148999954,184.000000000000000
-1,Cape_Town,20,-33.964050000000000,18.488019999999999,18,12,0.667000000000000,-33.924869999999999,18.424054999999999,South Africa,Africa,7.334500000000000,39.661099999999998,0.184900000000000,12,19,1,834.578870148999954,11.000000000000000
